,ts_code,name,industry,WEIGHT_CONTINUOUSLY_FALL_P_CHANGE,WEIGHT_LAST_P_CHANGE,INFLEXION,WEEKLY_WEIGHT_LAST_P_CHANGE
1056,002596.SZ,海南瑞泽,其他建材,-0.49,2.18,2.67,8.83
1274,002824.SZ,和胜股份,铝,-0.49,0.22,0.71,0.44
1127,002667.SZ,鞍重股份,工程机械,-0.48,3.53,4.01,5.97
1425,300039.SZ,上海凯宝,中成药,-0.48,0.24,0.72,0.24
3071,601799.SH,星宇股份,汽车配件,-0.48,0.11,0.59,6.77
2422,600352.SH,浙江龙盛,染料涂料,-0.48,0.76,1.24,0.38
3197,603116.SH,红蜻蜓,服饰,-0.48,0.48,0.96,0.97
554,002092.SZ,中泰化学,化工原料,-0.48,0.76,1.24,0.35
298,000776.SZ,广发证券,证券,-0.47,0.37,0.84,1.46
2948,601012.SH,隆基股份,半导体,-0.47,2.2,2.67,9.15
300,000778.SZ,新兴铸管,钢加工,-0.46,0.34,0.8,1.16
1584,300200.SZ,高盟新材,化工原料,-0.46,0.86,1.32,2.36
546,002084.SZ,海鸥住工,家居用品,-0.46,0.69,1.15,3.55
460,001896.SZ,豫能控股,火力发电,-0.46,0.15,0.61,2.34
2529,600499.SH,科达洁能,专用机械,-0.46,0.8,1.26,1.27
3512,603878.SH,武进不锈,钢加工,-0.46,1.93,2.39,3.5
354,000858.SZ,五粮液,白酒,-0.46,2.25,2.71,4.35
999,002539.SZ,云图控股,农药化肥,-0.46,0.8,1.26,0.8
3439,603708.SH,家家悦,超市连锁,-0.45,0.1,0.55,0.53
772,002311.SZ,海大集团,饲料,-0.44,1.87,2.31,0.33
1578,300194.SZ,福安药业,化学制药,-0.44,0.15,0.59,1.51
1705,300321.SZ,同大股份,塑料,-0.44,0.11,0.55,0.79
32,000039.SZ,中集集团,轻工机械,-0.44,0.18,0.62,2.89
3122,603000.SH,人民网,互联网,-0.42,0.18,0.6,2.76
3344,603515.SH,欧普照明,电气设备,-0.42,1.4,1.82,1.79
356,000860.SZ,顺鑫农业,白酒,-0.42,1.14,1.56,7.05
964,002503.SZ,搜于特,服饰,-0.42,3.17,3.59,4.09
2652,600639.SH,浦东金桥,园区开发,-0.42,0.46,0.88,0.95
2986,601168.SH,西部矿业,铜,-0.41,0.58,0.99,0.83
228,000672.SZ,上峰水泥,水泥,-0.41,3.38,3.79,1.93
2916,600976.SH,健民集团,中成药,-0.41,5.0,5.41,3.25
2957,601058.SH,赛轮轮胎,汽车配件,-0.41,0.21,0.62,1.26
1545,300160.SZ,秀强股份,玻璃,-0.4,0.13,0.53,3.05
246,000695.SZ,滨海能源,供气供热,-0.4,0.96,1.36,2.11
2435,600367.SH,红星发展,化工原料,-0.4,0.66,1.06,1.89
2200,600094.SH,大名城,区域地产,-0.4,0.26,0.66,1.62
2355,600272.SH,开开实业,中成药,-0.4,0.33,0.73,1.97
3261,603277.SH,银都股份,专用机械,-0.39,0.06,0.45,0.61
3571,603993.SH,洛阳钼业,小金属,-0.39,1.57,1.96,0.13
2154,600036.SH,招商银行,银行,-0.39,0.83,1.22,3.36
84,000415.SZ,渤海租赁,多元金融,-0.39,0.26,0.65,1.6
2172,600063.SH,皖维高新,化纤,-0.39,0.2,0.59,2.8
174,000596.SZ,古井贡酒,白酒,-0.39,1.83,2.22,7.48
385,000903.SZ,云内动力,机械基件,-0.38,0.96,1.34,3.58
2781,600779.SH,水井坊,白酒,-0.38,1.42,1.8,2.45
891,002430.SZ,杭氧股份,化工机械,-0.38,1.46,1.84,1.63
1839,300457.SZ,赢合科技,专用机械,-0.38,0.44,0.82,4.33
2320,600230.SH,沧州大化,农药化肥,-0.37,2.88,3.25,0.6
2284,600189.SH,吉林森工,林业,-0.37,3.51,3.88,5.41
3312,603369.SH,今世缘,白酒,-0.37,0.7,1.07,7.81
2580,600559.SH,老白干酒,白酒,-0.37,0.29,0.66,4.79
930,002469.SZ,三维工程,建筑施工,-0.36,0.12,0.48,2.31
814,002353.SZ,杰瑞股份,化工机械,-0.36,2.98,3.34,3.56
2165,600056.SH,中国医药,医药商业,-0.35,0.51,0.86,1.04
1235,002781.SZ,奇信股份,装修装饰,-0.35,1.99,2.34,4.8
2878,600887.SH,伊利股份,乳制品,-0.35,0.81,1.16,3.48
2668,600657.SH,信达地产,全国地产,-0.35,1.06,1.41,3.26
2824,600827.SH,百联股份,超市连锁,-0.34,0.57,0.91,1.43
3419,603669.SH,灵康药业,化学制药,-0.34,0.77,1.11,2.6
98,000488.SZ,晨鸣纸业,造纸,-0.34,1.63,1.97,2.59
1291,002842.SZ,翔鹭钨业,小金属,-0.34,3.18,3.52,2.48
2463,600398.SH,海澜之家,服饰,-0.34,0.52,0.86,2.81
1319,002872.SZ,天圣制药,化学制药,-0.34,0.11,0.45,0.11
2722,600717.SH,天津港,港口,-0.33,2.52,2.85,4.25
2230,600126.SH,杭钢股份,普钢,-0.32,0.64,0.96,1.19
833,002372.SZ,伟星新材,其他建材,-0.31,1.1,1.41,5.98
2944,601008.SH,连云港,港口,-0.31,0.77,1.08,0.15
170,000591.SZ,太阳能,新型电力,-0.31,0.31,0.62,0.16
2436,600368.SH,五洲交通,路桥,-0.31,0.31,0.62,1.26
3477,603801.SH,志邦家居,家居用品,-0.31,0.33,0.64,1.78
3506,603866.SH,桃李面包,食品,-0.31,0.97,1.28,5.84
846,002385.SZ,大北农,饲料,-0.3,0.31,0.61,1.56
100,000501.SZ,鄂武商A,百货,-0.3,0.4,0.7,2.09
2725,600720.SH,祁连山,水泥,-0.3,1.12,1.42,1.74
2640,600623.SH,华谊集团,汽车配件,-0.3,0.12,0.42,2.14
3324,603398.SH,邦宝益智,文教休闲,-0.3,4.65,4.95,3.39
628,002166.SZ,莱茵生物,中成药,-0.3,0.45,0.75,4.21
2630,600613.SH,神奇制药,中成药,-0.29,0.49,0.78,1.47
2233,600129.SH,太极集团,中成药,-0.28,0.4,0.68,0.91
938,002477.SZ,雏鹰农牧,农业综合,-0.28,3.13,3.41,8.13
154,000566.SZ,海南海药,化学制药,-0.27,0.46,0.73,3.72
549,002087.SZ,新野纺织,纺织,-0.27,0.4,0.67,2.06
3346,603517.SH,绝味食品,食品,-0.27,0.97,1.24,6.49
66,000157.SZ,中联重科,工程机械,-0.27,0.55,0.82,1.1
1880,300498.SZ,温氏股份,农业综合,-0.27,0.09,0.36,0.58
2714,600708.SH,光明地产,全国地产,-0.27,0.68,0.95,1.38
274,000729.SZ,燕京啤酒,啤酒,-0.26,0.35,0.61,1.96
248,000698.SZ,沈阳化工,化工原料,-0.26,0.64,0.9,2.76
2421,600351.SH,亚宝药业,中成药,-0.26,0.86,1.12,2.2
188,000612.SZ,焦作万方,铝,-0.25,4.67,4.92,5.74
2249,600150.SH,*ST船舶,船舶,-0.25,0.46,0.71,1.96
793,002332.SZ,仙琚制药,生物制药,-0.24,2.29,2.53,1.48
936,002475.SZ,立讯精密,元器件,-0.23,0.03,0.26,5.67
397,000919.SZ,金陵药业,化学制药,-0.23,0.08,0.31,1.1
542,002080.SZ,中材科技,化纤,-0.23,0.4,0.63,2.82
2541,600512.SH,腾达建设,建筑施工,-0.22,1.96,2.18,3.74
3330,603456.SH,九洲药业,化学制药,-0.22,0.45,0.67,2.29
3110,601969.SH,海南矿业,普钢,-0.22,1.75,1.97,3.61
2459,600393.SH,粤泰股份,全国地产,-0.22,1.75,1.97,0.44
368,000882.SZ,华联股份,百货,-0.21,0.42,0.63,1.5
2956,601038.SH,一拖股份,农用机械,-0.21,0.32,0.53,1.61
294,000762.SZ,西藏矿业,小金属,-0.21,0.63,0.84,1.64
1766,300384.SZ,三联虹普,纺织机械,-0.19,0.58,0.77,3.46
2962,601088.SH,中国神华,煤炭开采,-0.19,1.21,1.4,2.15
852,002391.SZ,长青股份,农药化肥,-0.18,0.51,0.69,0.89
2636,600619.SH,海立股份,机械基件,-0.17,1.57,1.74,0.47
241,000688.SZ,国城矿业,铅锌,-0.17,4.37,4.54,4.38
3074,601808.SH,中海油服,石油开采,-0.17,0.58,0.75,0.59
2481,600425.SH,青松建化,水泥,-0.16,0.95,1.11,1.27
160,000573.SZ,粤宏远A,区域地产,-0.16,0.78,0.94,1.9
476,002014.SZ,永新股份,塑料,-0.15,0.07,0.22,1.2
3259,603268.SH,松发股份,陶瓷,-0.14,3.04,3.18,6.73
2520,600488.SH,天药股份,化学制药,-0.13,0.13,0.26,0.65
56,000089.SZ,深圳机场,机场,-0.13,0.76,0.89,1.74
2758,600754.SH,锦江股份,酒店餐饮,-0.12,0.47,0.59,1.07
2887,600896.SH,*ST海投,水运,-0.12,0.36,0.48,0.12
399,000921.SZ,海信家电,家用电器,-0.12,1.72,1.84,2.97
1836,300454.SZ,深信服,软件服务,-0.11,1.07,1.18,2.31
1645,300261.SZ,雅本化学,农药化肥,-0.1,3.39,3.49,0.81
664,002202.SZ,金风科技,电气设备,-0.09,1.46,1.55,2.51
2987,601169.SH,北京银行,银行,-0.09,0.87,0.96,0.61
3415,603665.SH,康隆达,纺织,-0.09,0.39,0.48,3.22
373,000888.SZ,峨眉山A,旅游景点,-0.08,0.33,0.41,3.26
736,002275.SZ,桂林三金,中成药,-0.08,0.04,0.12,0.42
3014,601328.SH,交通银行,银行,-0.08,0.51,0.59,0.76
537,002075.SZ,沙钢股份,特种钢,-0.07,1.05,1.12,1.89
2493,600449.SH,宁夏建材,水泥,-0.06,0.45,0.51,0.98
2477,600420.SH,现代制药,化学制药,-0.06,0.39,0.45,0.95
1659,300275.SZ,梅安森,软件服务,-0.06,2.04,2.1,3.02
1021,002561.SZ,徐家汇,百货,-0.06,0.12,0.18,1.81
486,002024.SZ,苏宁易购,电器连锁,-0.05,0.46,0.51,1.88
1061,002601.SZ,龙蟒佰利,化工原料,-0.04,1.53,1.57,0.72
2408,600332.SH,白云山,中成药,-0.01,1.25,1.26,3.05
