,ts_code,symbol,name,industry,COL_MA,COL_LASTPRICE,COL_MA_CLOSE_GAP,COL_MA_10,COL_MA_20,COL_MA_GAP,COL_MA_10_SLOPE,COL_MA_20_SLOPE,concept
161,002176.SZ,002176,江特电机,电气设备,6.54,7.04,7.65,6.85,6.54,4.74,0.88,0.77,"汽车整车, 锂电池, 智能制造, 新能源汽车, 机器人, "
162,300214.SZ,300214,日科化学,化工原料,6.91,7.44,7.67,7.29,6.91,5.5,0.97,0.88,"回购, 举牌股, 股权转让, "
163,300282.SZ,300282,三盛教育,文教休闲,14.51,15.64,7.79,15.2,14.51,4.76,0.93,0.76,"教育, 定增破发, "
164,002436.SZ,002436,兴森科技,元器件,5.54,5.98,7.94,5.6,5.54,1.08,1.27,0.54,"PCB板, 互联网金融, 半导体, 国资入股, "
165,600503.SH,600503,华丽家族,区域地产,4.78,5.16,7.95,4.92,4.78,2.93,1.03,0.84,"华为产业链, 恒大概念股, 房地产, 智能制造, 石墨烯, 期货概念, 机器人, "
166,002810.SZ,002810,山东赫达,化工原料,25.37,27.4,8.0,25.42,25.37,0.2,0.99,0.59,"业绩预增, 高送转, "
167,300025.SZ,300025,华星创业,通信设备,6.19,6.69,8.08,6.4,6.19,3.39,1.11,0.81,"5G, 华为产业链, 物联网, 云计算, 股权转让, "
168,002678.SZ,002678,珠江钢琴,文教休闲,7.55,8.16,8.08,7.56,7.55,0.13,0.8,0.67,"二胎, 教育, "
169,600604.SH,600604,市北高新,园区开发,14.95,16.18,8.23,15.08,14.95,0.87,1.21,0.54,"阿里巴巴概念股, 房地产, 上海国企改革, 住房租赁, 强势人气股, 创投, "
170,600805.SH,600805,悦达投资,综合类,6.92,7.49,8.24,7.01,6.92,1.3,1.15,0.87,"汽车整车, 社保重仓, 破净股, 农机, 石墨烯, "
171,002778.SZ,002778,高科石化,石油加工,21.42,23.19,8.26,21.87,21.42,2.1,0.97,0.8,"石油化工, 工业自动化, 智能制造, 股权转让, 资产重组, "
172,002634.SZ,002634,棒杰股份,服饰,6.31,6.84,8.4,6.45,6.31,2.22,0.94,0.64,"回购, 纺织服装, 股权转让, 科创板概念股, "
173,600379.SH,600379,宝光股份,电气设备,9.14,9.91,8.42,9.69,9.14,6.02,0.83,0.77,"央企改革, 股权争夺, "
174,600281.SH,600281,太化股份,化工原料,4.75,5.15,8.42,5.05,4.75,6.32,1.2,1.06,"山西国企改革, "
175,300560.SZ,300560,中富通,通信设备,21.48,23.3,8.47,21.77,21.48,1.35,1.11,0.75,"5G, 华为产业链, 军工, 军民融合, 数字中国, "
176,002316.SZ,002316,亚联发展,软件服务,9.53,10.34,8.5,9.75,9.53,2.31,1.04,0.74,"华为产业链, 新零售, 互联网金融, 移动支付, 大数据, 智慧城市, 独角兽, 电子车牌, "
177,000868.SZ,000868,*ST安凯,汽车整车,3.74,4.06,8.56,3.9,3.74,4.28,0.78,0.0,"新能源整车, 汽车整车, 安徽国企改革, 无人驾驶, 定增破发, PPP, 新能源汽车, "
178,002515.SZ,002515,金字火腿,食品,6.26,6.8,8.63,6.29,6.26,0.48,0.8,0.48,"回购, 业绩预增, 食品, 高质押率, 医药, 创新药, 互联网金融, 股权转让, 国资入股, 资产重组, "
179,300134.SZ,300134,大富科技,通信设备,15.64,16.99,8.63,15.93,15.64,1.85,1.27,0.58,"5G, OLED, 特斯拉, 华为产业链, 无人驾驶, 高质押率, 石墨烯, 股权转让, VR&AR, 国资入股, 虹膜识别, "
180,000050.SZ,000050,深天马A,元器件,15.99,17.38,8.69,16.24,15.99,1.56,1.0,0.5,"OLED, MSCI, 央企改革, 华为产业链, 军工研究所, 军工, 汽车零部件, 小米概念股, VR&AR, "
181,002477.SZ,002477,*ST雏鹰,农业综合,2.64,2.87,8.71,2.81,2.64,6.44,1.08,0.76,"养猪, 低价股, 电竞, 国资入股, "
182,300097.SZ,300097,智云股份,电器仪表,13.64,14.84,8.8,13.75,13.64,0.81,1.18,0.66,"OLED, 华为产业链, 回购, 定增破发, 工业自动化, 智能制造, "
183,002828.SZ,002828,贝肯能源,石油开采,13.49,14.68,8.82,13.76,13.49,2.0,1.03,0.82,"油服, 油气改革, 可燃冰, 页岩气, 天然气, 新疆, "
184,002626.SZ,002626,金达威,食品,14.69,15.99,8.85,15.4,14.69,4.83,1.05,0.55,"回购, 保健品, 食品, 医药, 化学药, 维生素, "
185,000683.SZ,000683,远兴能源,化工原料,3.16,3.44,8.86,3.24,3.16,2.53,0.93,0.64,"内蒙古, 石墨电极, 甲醇, 纯碱, 回购, 业绩预增, 化肥, "
186,002147.SZ,002147,ST新光,区域地产,3.36,3.66,8.93,3.45,3.36,2.68,0.88,0.3,"破净股, 债转股-AMC, 高质押率, 房地产, 共享经济, 资产重组, ST股, "
187,300679.SZ,300679,电连技术,元器件,39.66,43.2,8.93,42.8,39.66,7.92,1.64,1.15,"5G, 华为产业链, 小米概念股, "
188,300208.SZ,300208,青岛中程,电气设备,8.28,9.02,8.94,8.5,8.28,2.66,1.43,1.22,"有色金属, 有色-镍, 举牌股, "
189,600523.SH,600523,贵航股份,汽车配件,13.82,15.06,8.97,15.0,13.82,8.54,1.56,1.39,"央企改革, 军工研究所, 大飞机, 军工, 汽车零部件, "
190,300375.SZ,300375,鹏翎股份,汽车配件,8.13,8.86,8.98,8.41,8.13,3.44,1.08,0.87,"社保重仓, 汽车零部件, 资产重组, "
191,300032.SZ,300032,金龙机电,元器件,3.78,4.12,8.99,3.9,3.78,3.17,0.78,0.53,"小米概念股, 智能制造, 共享经济, 机器人, "
192,603499.SH,603499,翔港科技,广告包装,31.15,33.95,8.99,32.14,31.15,3.18,1.71,0.74,"包装印刷, 化妆品, "
193,002299.SZ,002299,圣农发展,农业综合,26.08,28.44,9.05,27.23,26.08,4.41,1.11,0.5,"MSCI, 业绩预增, 养鸡, "
194,002446.SZ,002446,盛路通信,通信设备,10.98,11.98,9.11,11.28,10.98,2.73,1.08,0.83,"5G, 华为产业链, 军工, 军民融合, 物联网, 无人驾驶, 北斗导航, "
195,601001.SH,601001,大同煤业,煤炭开采,5.25,5.73,9.14,5.39,5.25,2.67,1.13,0.96,"煤炭, 山西国企改革, "
196,000680.SZ,000680,山推股份,工程机械,4.42,4.83,9.28,4.63,4.42,4.75,1.09,0.91,"一带一路, 机械, 山东国企改革, "
197,000534.SZ,000534,万泽股份,生物制药,10.86,11.87,9.3,11.08,10.86,2.03,0.91,0.74,"社保重仓, 大飞机, 军工, 军民融合, 互联网金融, 股权转让, 资产重组, "
198,000592.SZ,000592,平潭发展,林业,4.19,4.58,9.31,4.41,4.19,5.25,1.15,0.96,"赛马, 民营医院, 福建自贸区, 光伏, 土地流转, 林业, 自贸区, 体育产业, "
199,300698.SZ,300698,万马科技,通信设备,19.31,21.11,9.32,20.86,19.31,8.03,1.41,0.94,"5G, 光通信, 物联网, 量子通信, 医疗器械, 互联网医疗, "
200,000983.SZ,000983,西山煤电,煤炭开采,6.74,7.37,9.35,7.02,6.74,4.15,1.01,0.9,"MSCI, 煤炭, 社保重仓, 天然气, 山西国企改革, "
201,002166.SZ,002166,莱茵生物,中成药,9.62,10.52,9.36,10.49,9.62,9.04,1.75,1.48,"广西, "
202,002045.SZ,002045,国光电器,元器件,6.19,6.77,9.37,6.24,6.19,0.81,1.3,0.81,"定增破发, 家电, 锂电池, 新能源汽车, 智能音箱, 苹果产业链, 黑色家电, "
203,000755.SZ,000755,山西路桥,公路,5.17,5.66,9.48,5.3,5.17,2.51,0.95,0.78,"高速公路, 山西国企改革, ST摘帽, "
204,002641.SZ,002641,永高股份,塑料,4.32,4.73,9.49,4.53,4.32,4.86,1.12,0.93,
205,603505.SH,603505,金石资源,矿物制品,18.43,20.18,9.5,18.98,18.43,2.98,1.06,0.82,"业绩预增, "
206,300206.SZ,300206,理邦仪器,医疗保健,7.86,8.61,9.54,8.62,7.86,9.67,1.17,1.16,"二胎, 回购, 业绩预增, 医疗器械, 体外诊断, "
207,300492.SZ,300492,山鼎设计,建筑施工,28.35,31.06,9.56,30.78,28.35,8.57,1.12,0.89,"新零售, 跨境电商, 复牌股, 年报季报, 装修装饰, 体育产业, "
208,603399.SH,603399,吉翔股份,小金属,12.06,13.22,9.62,12.27,12.06,1.74,1.15,0.75,"有色金属, 有色-钼, 百度概念股, 游戏, 手游, 影视, "
209,300427.SZ,300427,红相股份,电气设备,15.48,16.98,9.69,16.39,15.48,5.88,1.17,1.04,"电改, 业绩预增, 军工, 军民融合, 股权转让, "
210,600246.SH,600246,万通地产,区域地产,4.64,5.09,9.7,4.75,4.64,2.37,1.06,0.87,"高质押率, 房地产, 锂电池, 新能源汽车, 京津冀, "
211,002498.SZ,002498,汉缆股份,电气设备,3.27,3.59,9.79,3.4,3.27,3.98,1.19,0.93,"特高压, "
212,000977.SZ,000977,浪潮信息,电脑设备,26.06,28.62,9.82,26.51,26.06,1.73,1.18,0.7,"MSCI, 美团概念股, 山东国企改革, 数字中国, 云计算, 国产操作系统, 智慧安防, "
213,300158.SZ,300158,振东制药,中成药,5.28,5.8,9.85,5.52,5.28,4.55,1.47,0.96,"破净股, 保健品, 食品, 医药, 中药, 创新药, 化学药, "
214,600459.SH,600459,贵研铂业,小金属,18.55,20.38,9.87,20.42,18.55,10.08,1.85,1.26,"特斯拉, 燃料电池, "
215,002674.SZ,002674,兴业科技,纺织,15.67,17.22,9.89,16.48,15.67,5.17,1.48,1.29,"业绩预增, 纺织服装, 恒大概念股, 壳公司, "
216,000506.SZ,000506,中润资源,区域地产,3.97,4.37,10.08,4.21,3.97,6.05,1.2,1.02,"房地产, 资产重组, 手游, 黄金, "
217,600644.SH,600644,乐山电力,水力发电,7.06,7.78,10.2,7.56,7.06,7.08,1.34,1.15,"水电, 业绩预增, 举牌股, "
218,300510.SZ,300510,金冠股份,电气设备,11.55,12.73,10.22,11.82,11.55,2.34,1.63,0.7,"智能仪表, 锂电池, 新能源汽车, 股权转让, 国资入股, 资产重组, 充电桩, "
219,002739.SZ,002739,万达电影,影视音像,23.06,25.42,10.23,24.12,23.06,4.6,1.26,0.87,"阿里巴巴概念股, 大消费, 资产重组, 影视, "
220,603045.SH,603045,福达合金,电气设备,31.44,34.69,10.34,32.41,31.44,3.09,1.34,0.77,
221,002115.SZ,002115,三维通信,通信设备,13.19,14.56,10.39,13.95,13.19,5.76,1.16,1.07,"5G, 业绩预增, "
222,000626.SZ,000626,远大控股,商贸代理,9.85,10.88,10.46,10.65,9.85,8.12,1.43,0.92,
223,002569.SZ,002569,步森股份,服饰,12.58,13.92,10.65,13.2,12.58,4.93,1.15,0.32,"新零售, 供应链金融, 纺织服装, 股权争夺, 壳公司, "
224,000566.SZ,000566,海南海药,化学制药,7.88,8.73,10.79,7.93,7.88,0.63,0.63,0.38,"业绩预增, 医药, 创新药, 化学药, 海南自由贸易港, 医疗器械, 自贸区, 互联网医疗, 自由贸易港, 国资入股, 资产重组, 独角兽, 海南, 科创板概念股, "
225,002837.SZ,002837,英维克,专用机械,20.24,22.43,10.82,20.4,20.24,0.79,1.24,0.9,"5G, 军工, 军民融合, 新能源汽车, 腾讯概念股, 充电桩, "
226,600217.SH,600217,中再资环,环境保护,6.46,7.16,10.84,6.77,6.46,4.8,1.35,1.25,"固废处理, 环保, 资产重组, "
227,600863.SH,600863,内蒙华电,火力发电,3.02,3.35,10.93,3.12,3.02,3.31,1.63,1.0,"火电, MSCI, 内蒙古, 电改, 央企改革, 业绩预增, 风电, 低价股, "
228,002158.SZ,002158,汉钟精机,工程机械,10.98,12.19,11.02,11.16,10.98,1.64,1.55,0.73,"雄安-公共服务, 燃料电池, 冷链, 雄安新区, 地热, "
229,300069.SZ,300069,金利华电,电气设备,13.34,14.81,11.02,13.9,13.34,4.2,1.31,0.98,"特高压, 燃料电池, 影视, "
230,000043.SZ,000043,中航善达,房产服务,9.04,10.04,11.06,9.33,9.04,3.21,1.63,0.67,"央企改革, 军工研究所, 业绩预增, 军工, 房地产, "
231,300551.SZ,300551,古鳌科技,专用机械,15.79,17.54,11.08,16.52,15.79,4.62,1.23,1.02,"互联网金融, 无人银行, "
232,300283.SZ,300283,温州宏丰,电气设备,5.67,6.3,11.11,5.7,5.67,0.53,1.24,0.89,"股权转让, "
233,002203.SZ,002203,海亮股份,铜,9.4,10.45,11.17,9.69,9.4,3.09,1.25,1.08,"有色金属, 有色-钴, 工业自动化, 智能制造, 有色-铜, "
234,000413.SZ,000413,东旭光电,元器件,6.33,7.04,11.22,6.49,6.33,2.53,1.09,0.96,"OLED, MSCI, 新能源整车, 汽车整车, 华为产业链, 定增破发, 燃料电池, 智能制造, 新能源汽车, 石墨烯, 智慧城市, 3D玻璃, 机器人, "
235,300198.SZ,300198,纳川股份,塑料,4.44,4.94,11.26,4.52,4.44,1.8,2.03,0.23,"核电, 地下管廊, 海绵城市, 锂电池, PPP, 新能源汽车, 共享经济, "
236,603589.SH,603589,口子窖,白酒,56.4,62.79,11.33,57.62,56.4,2.16,1.27,1.11,"MSCI, 白酒, "
237,000715.SZ,000715,中兴商业,百货,9.33,10.39,11.36,9.45,9.33,1.29,1.07,0.76,"新零售, 股权转让, "
238,002093.SZ,002093,国脉科技,电信运营,9.98,11.12,11.42,10.2,9.98,2.2,1.19,1.01,"5G, 教育, 物联网, 数字中国, 云计算, "
239,300116.SZ,300116,坚瑞沃能,电气设备,2.01,2.24,11.44,2.06,2.01,2.49,0.98,0.5,"锂电池, 新能源汽车, 低价股, "
240,300299.SZ,300299,富春股份,通信设备,6.38,7.12,11.6,6.77,6.38,6.11,1.5,1.11,"5G, 数字中国, 大数据, 资产重组, 游戏, 手游, 影视, 动漫, "
241,600732.SH,600732,ST新梅,区域地产,6.68,7.46,11.68,7.1,6.68,6.29,1.43,1.21,"上海国企改革, 资产重组, ST股, 壳公司, "
242,603617.SH,603617,君禾股份,专用机械,20.18,22.6,11.99,20.52,20.18,1.68,1.18,0.8,
243,600620.SH,600620,天宸股份,综合类,9.19,10.3,12.08,9.96,9.19,8.38,1.84,1.21,
244,002321.SZ,002321,华英农业,农业综合,7.9,8.86,12.15,8.3,7.9,5.06,1.72,0.77,"养鸡, 土地流转, 股权转让, 国资入股, "
245,600792.SH,600792,云煤能源,焦炭加工,4.19,4.7,12.17,4.44,4.19,5.97,1.6,1.21,"煤炭, 石墨电极, 甲醇, "
246,002840.SZ,002840,华统股份,食品,19.14,21.51,12.38,19.2,19.14,0.31,1.48,0.79,"养猪, "
247,603488.SH,603488,展鹏科技,电气设备,9.53,10.71,12.38,9.73,9.53,2.1,1.25,0.95,
248,300212.SZ,300212,易华录,软件服务,31.92,35.96,12.66,33.14,31.92,3.82,1.25,1.2,"阿里巴巴概念股, 央企改革, 业绩预增, 物联网, 百度概念股, 无人驾驶, 雄安-智慧城市, 养老产业, 智慧停车, PPP, 小米概念股, 数字中国, 雄安新区, 京津冀, 大数据, 云计算, 智慧城市, 智慧安防, 独角兽, 电子车牌, "
249,600617.SH,600617,国新能源,供气供热,5.86,6.61,12.8,6.02,5.86,2.73,1.35,0.86,"油气改革, 天然气, 山西国企改革, 雄安-公共服务, 雄安新区, "
250,300138.SZ,300138,晨光生物,食品,7.75,8.75,12.9,7.89,7.75,1.81,1.28,1.04,"海底捞概念股, 回购, 独角兽, "
251,300345.SZ,300345,红宇新材,钢加工,5.62,6.35,12.99,6.1,5.62,8.54,1.33,1.08,"军工, 军民融合, 工业自动化, 3D打印, 智能制造, "
252,600275.SH,600275,ST昌鱼,农业综合,3.61,4.08,13.02,4.04,3.61,11.91,1.51,1.4,"股权争夺, ST股, 壳公司, "
253,300229.SZ,300229,拓尔思,软件服务,12.72,14.38,13.05,13.42,12.72,5.5,2.05,1.03,"网络安全, 互联网金融, 大数据, 云计算, 人工智能, 国产软件, 知识产权, 创投, "
254,300130.SZ,300130,新国都,电脑设备,17.52,19.82,13.13,17.65,17.52,0.74,1.79,0.63,"业绩预增, 物联网, 网络安全, 互联网金融, 移动支付, 大数据, 区块链, 腾讯概念股, "
255,002780.SZ,002780,三夫户外,其他商业,23.35,26.42,13.15,25.96,23.35,11.18,1.76,1.7,"主题公园, 纺织服装, 体育产业, "
256,600166.SH,600166,福田汽车,汽车整车,2.63,2.98,13.31,2.82,2.63,7.22,1.44,1.15,"新能源整车, 汽车整车, 回购, 破净股, 重卡, 百度概念股, 无人驾驶, 燃料电池, 新能源汽车, 低价股, "
257,300241.SZ,300241,瑞丰光电,半导体,7.5,8.5,13.33,7.71,7.5,2.8,1.72,0.94,"汽车零部件, 举牌股, LED, 虹膜识别, "
258,002564.SZ,002564,天沃科技,化工机械,6.21,7.04,13.37,6.31,6.21,1.61,1.12,0.81,"回购, 风电, 军工, 军民融合, 煤化工, 股权转让, 国资入股, "
259,600110.SH,600110,诺德股份,电气设备,5.17,5.87,13.54,5.35,5.17,3.48,1.33,0.78,"中科院系, 宁德时代概念股, "
260,603908.SH,603908,牧高笛,纺织,28.08,31.89,13.57,28.4,28.08,1.14,1.43,1.01,"纺织服装, 体育产业, "
261,000713.SZ,000713,丰乐种业,种植业,6.4,7.27,13.59,6.71,6.4,4.84,1.51,1.11,"农药, 安徽国企改革, 转基因, 乡村振兴, 业绩预增, 农业种植, "
262,002249.SZ,002249,大洋电机,电气设备,6.1,6.93,13.61,6.42,6.1,5.25,1.58,1.5,"北汽新能源, 燃料电池, 新能源汽车, 共享经济, "
263,000669.SZ,000669,金鸿控股,供气供热,7.12,8.09,13.62,7.5,7.12,5.34,1.49,1.14,"油气改革, 天然气, 燃料电池, "
264,002868.SZ,002868,绿康生化,农业综合,21.11,24.0,13.69,22.4,21.11,6.11,1.68,1.25,"动物保健, "
265,002089.SZ,002089,新海宜,通信设备,5.55,6.31,13.69,5.74,5.55,3.42,1.77,1.09,"5G, 光通信, 锂电池, 量子通信, 新能源汽车, LED, 创投, "
266,603160.SH,603160,汇顶科技,元器件,113.27,128.8,13.71,123.16,113.27,8.73,2.43,1.15,"高价股, 华为产业链, 小米概念股, 人工智能, 指纹识别, 半导体, 3D感应, 国产芯片, 手势识别, 人脸识别, "
267,300179.SZ,300179,四方达,矿物制品,5.16,5.87,13.76,5.33,5.16,3.29,1.33,1.18,"富勒烯, "
268,002002.SZ,002002,鸿达兴业,化工原料,6.35,7.24,14.02,6.83,6.35,7.56,1.79,1.44,"PVC, 供应链金融, 稀土磁材, 土地流转, 燃料电池, "
269,600261.SH,600261,阳光照明,家用电器,4.05,4.62,14.07,4.11,4.05,1.48,1.23,1.0,"LED, "
270,600794.SH,600794,保税科技,仓储物流,4.6,5.25,14.13,5.44,4.6,18.26,1.87,1.77,"军工, 军民融合, 快递物流, "
271,600303.SH,600303,曙光股份,汽车整车,5.06,5.78,14.23,5.42,5.06,7.11,1.5,1.2,"新能源整车, 振兴东北, 汽车整车, 汽车零部件, 新能源汽车, 股权转让, "
272,002733.SZ,002733,雄韬股份,电气设备,28.16,32.26,14.56,30.61,28.16,8.7,2.03,1.19,"回购, 业绩预增, 储能, 锂电池, 燃料电池, 新能源汽车, 强势人气股, "
273,002124.SZ,002124,天邦股份,饲料,19.34,22.2,14.79,20.41,19.34,5.53,1.95,1.31,"饲料, 养猪, 动物保健, 强势人气股, "
274,002669.SZ,002669,康达新材,化工原料,14.58,16.74,14.81,15.3,14.58,4.94,1.53,1.25,"业绩预增, 军工, 军民融合, 股权转让, 国资入股, "
275,300115.SZ,300115,长盈精密,元器件,13.22,15.2,14.98,13.72,13.22,3.78,1.93,1.15,"华为产业链, 社保重仓, 宁德时代概念股, 小米概念股, 智能制造, 苹果产业链, 国产芯片, 独角兽, 机器人, "
276,002560.SZ,002560,通达股份,电气设备,6.31,7.26,15.06,6.47,6.31,2.54,1.41,1.12,"特高压, 大飞机, 有色金属, 军工, 军民融合, 有色-钛, "
277,300113.SZ,300113,顺网科技,互联网,18.84,21.68,15.07,20.36,18.84,8.07,1.75,1.34,"回购, 网络安全, 云计算, 电竞, VR&AR, 腾讯概念股, 国产操作系统, 游戏, 手游, 体育产业, "
278,600478.SH,600478,科力远,元器件,6.26,7.23,15.5,6.48,6.26,3.51,1.89,1.13,"回购, 稀土磁材, 工业自动化, 燃料电池, 智能制造, 资产重组, "
279,603906.SH,603906,龙蟠科技,化工原料,10.84,12.52,15.5,11.42,10.84,5.35,1.87,1.31,"社保重仓, 石油化工, "
280,000823.SZ,000823,超声电子,元器件,10.8,12.49,15.65,11.34,10.8,5.0,2.16,1.31,"PCB板, 小米概念股, 苹果产业链, "
281,002303.SZ,002303,美盈森,造纸,6.45,7.46,15.66,6.63,6.45,2.79,2.16,1.42,"军工, 军民融合, 工业自动化, 智能制造, 包装印刷, "
282,002746.SZ,002746,仙坛股份,农业综合,24.47,28.31,15.69,25.52,24.47,4.29,1.79,0.82,"业绩预增, 养鸡, 高送转, "
283,002360.SZ,002360,同德化工,化工原料,6.39,7.42,16.12,6.56,6.39,2.66,1.39,0.95,"回购, 民爆, "
284,002791.SZ,002791,坚朗五金,其他建材,14.96,17.47,16.78,15.2,14.96,1.6,1.95,1.49,"社保重仓, 回购, "
285,600378.SH,600378,天科股份,化工原料,13.25,15.48,16.83,13.89,13.25,4.83,1.76,1.22,"油服, 可燃冰, 央企改革, 业绩预增, 页岩气, 石油化工, 燃料电池, 资产重组, 碳交易, "
286,300508.SZ,300508,维宏股份,软件服务,30.67,35.89,17.02,30.99,30.67,1.04,1.41,0.76,"工业自动化, 智能制造, 工业互联网, "
287,000966.SZ,000966,长源电力,火力发电,5.04,5.9,17.06,5.73,5.04,13.69,1.96,1.61,"火电, 电改, 央企改革, 创投, "
288,603679.SH,603679,华体科技,电气设备,42.22,49.51,17.27,47.07,42.22,11.49,2.46,1.64,"华为产业链, 新能源汽车, 智慧城市, 共享经济, LED, 充电桩, "
289,600868.SH,600868,梅雁吉祥,水力发电,4.68,5.5,17.52,5.11,4.68,9.19,2.4,1.52,"有色-锑, 有色金属, 粤港澳大湾区, 恒大概念股, 举牌股, 股权争夺, "
290,002729.SZ,002729,好利来,元器件,31.65,37.28,17.79,33.37,31.65,5.43,2.11,1.67,
291,002505.SZ,002505,大康农业,农业综合,2.27,2.68,18.06,2.33,2.27,2.64,1.75,0.89,"阿里巴巴概念股, 养猪, 业绩预增, 食品, 乳业（奶粉）, 高质押率, 低价股, "
292,001696.SZ,001696,宗申动力,摩托车,8.0,9.45,18.12,8.92,8.0,11.5,2.53,2.04,"东盟博览会, 国家队重仓, 通用航空, 军工, 军民融合, 无人机, 汽车零部件, 农机, 燃料电池, "
293,002234.SZ,002234,民和股份,农业综合,28.78,34.0,18.14,31.24,28.78,8.55,2.26,1.05,"养鸡, "
294,002726.SZ,002726,龙大肉食,食品,10.09,11.92,18.14,10.76,10.09,6.64,2.09,1.41,"养猪, 股权转让, "
295,000957.SZ,000957,中通客车,汽车整车,8.9,10.55,18.54,9.76,8.9,9.66,2.09,0.79,"新能源整车, 汽车整车, 山东国企改革, 燃料电池, 新能源汽车, "
296,002418.SZ,002418,康盛股份,机械基件,5.53,6.59,19.17,5.93,5.53,7.23,1.89,1.47,"新能源整车, 汽车整车, 白色家电, 家电, 燃料电池, 新能源汽车, 石墨烯, 资产重组, "
297,002211.SZ,002211,宏达新材,橡胶,6.26,7.47,19.33,6.52,6.26,4.15,2.03,1.29,"有机硅, 雄安-园林环保, 雄安新区, 股权转让, "
298,300048.SZ,300048,合康新能,电气设备,3.36,4.01,19.35,3.64,3.36,8.33,2.25,1.51,"新能源整车, 新能源汽车, 共享经济, 充电桩, "
299,000070.SZ,000070,特发信息,通信设备,15.66,18.76,19.8,16.44,15.66,4.98,2.62,1.29,"5G, 光通信, 军工, 军民融合, 深圳本地股/深汕合作, 创投, "
300,600769.SH,600769,祥龙电业,建筑施工,5.82,6.98,19.93,6.28,5.82,7.9,1.95,1.39,"电改, "
301,000529.SZ,000529,广弘控股,食品,7.17,8.61,20.08,7.66,7.17,6.83,2.41,1.41,"养猪, 宝能系, 粤港澳大湾区, 养鸡, 冷链, "
302,002548.SZ,002548,金新农,饲料,12.67,15.28,20.6,13.9,12.67,9.71,2.73,1.93,"回购, 饲料, 养猪, 股权转让, 动物保健, "
303,000800.SZ,000800,一汽轿车,汽车整车,9.88,11.94,20.85,11.2,9.88,13.36,3.32,1.86,"新能源整车, 汽车整车, 混改, 央企改革, 百度概念股, 无人驾驶, 铁总混改, 新能源汽车, 共享经济, "
304,300021.SZ,300021,大禹节水,农业综合,7.47,9.03,20.88,8.08,7.47,8.17,2.28,1.77,"乡村振兴, 农机, 水利, 海绵城市, 土地流转, PPP, "
305,603226.SH,603226,菲林格尔,家居用品,21.0,25.39,20.9,21.84,21.0,4.0,2.44,1.11,"家具家居, "
306,002140.SZ,002140,东华科技,建筑施工,9.06,10.96,20.97,9.45,9.06,4.3,2.05,1.57,"高股息, 固废处理, 国家队重仓, 央企改革, 供应链金融, 雄安-公共服务, 环保, 雄安新区, "
307,600081.SH,600081,东风科技,汽车配件,13.17,15.95,21.11,16.09,13.17,22.17,2.88,2.65,"央企改革, 汽车零部件, 无人驾驶, "
308,002157.SZ,002157,正邦科技,饲料,18.84,23.05,22.35,19.74,18.84,4.78,2.23,2.06,"阿里巴巴概念股, 饲料, 养猪, 土地流转, "
309,002567.SZ,002567,唐人神,饲料,14.53,17.82,22.64,15.55,14.53,7.02,3.05,1.89,"回购, 饲料, 养猪, 股权转让, 国资入股, "
310,002057.SZ,002057,中钢天源,元器件,8.98,11.06,23.16,9.93,8.98,10.58,2.9,1.93,"硅锰, 央企改革, 债转股-AMC, 稀土磁材, 锂电池, 新能源汽车, "
311,002611.SZ,002611,东方精工,轻工机械,4.75,5.85,23.16,5.06,4.75,6.53,2.02,1.93,"北汽新能源, 社保重仓, 宁德时代概念股, 定增破发, 锂电池, 燃料电池, 新能源汽车, 包装印刷, "
312,600853.SH,600853,龙建股份,建筑施工,4.75,5.86,23.37,4.96,4.75,4.42,2.27,1.71,"振兴东北, 大基建, PPP, "
313,603609.SH,603609,禾丰牧业,饲料,11.33,14.02,23.74,11.96,11.33,5.56,3.01,1.52,"饲料, 养猪, "
314,300404.SZ,300404,博济医药,医疗保健,16.59,20.54,23.81,17.93,16.59,8.08,2.81,1.9,"医药, 创新药, "
315,002330.SZ,002330,得利斯,食品,6.4,8.01,25.16,6.74,6.4,5.31,2.9,1.75,"养猪, 食品, "
316,300238.SZ,300238,冠昊生物,医疗保健,17.48,21.89,25.23,17.85,17.48,2.12,2.59,1.51,"健康中国, 脑科学, 医药, 创新药, 医疗器械, 创投, "
317,002666.SZ,002666,德联集团,化工原料,5.3,6.66,25.66,5.48,5.3,3.4,2.62,1.73,"蔚来汽车概念股, "
318,002631.SZ,002631,德尔未来,家居用品,9.19,11.57,25.9,9.58,9.19,4.24,3.12,2.11,"石墨烯, 家具家居, "
319,601777.SH,601777,力帆股份,摩托车,6.24,7.86,25.96,7.45,6.24,19.39,3.47,2.46,"阿里巴巴概念股, 新能源整车, 汽车整车, 破净股, 无人驾驶, 锂电池, 新能源汽车, 共享经济, 独角兽, "
320,000637.SZ,000637,茂化实华,石油加工,5.53,6.97,26.04,5.86,5.53,5.97,2.81,2.03,"油气改革, 石油化工, 燃料电池, "
321,300430.SZ,300430,诚益通,电器仪表,10.63,13.4,26.06,11.43,10.63,7.53,2.7,2.02,"社保重仓, 定增破发, 工业自动化, 智能制造, 医疗器械, "
322,001896.SZ,001896,豫能控股,火力发电,4.16,5.25,26.2,4.35,4.16,4.57,2.59,1.46,"火电, 电改, 破净股, 风电, 定增破发, "
323,300292.SZ,300292,吴通控股,软件服务,4.96,6.26,26.21,5.5,4.96,10.89,3.19,2.27,"5G, 光通信, 华为产业链, 物联网, 滴滴出行概念股, 独角兽, "
