,ts_code,symbol,name,industry,COL_WEIGHT_RISE_EFFICIENCY,COL_WEIGHT_MIN_INDEX,COL_WEIGHT_MAX_INDEX,COL_LASTPRICE
360,300067.SZ,300067,安诺其,染料涂料,2.13,8.0,0.0,7.18
361,300124.SZ,300124,汇川技术,电器仪表,2.13,2.0,1.0,26.23
362,601678.SH,601678,滨化股份,化工原料,2.13,8.0,0.0,6.0
363,002474.SZ,002474,榕基软件,软件服务,2.13,7.0,1.0,10.06
364,002338.SZ,002338,奥普光电,电器仪表,2.13,7.0,1.0,15.08
365,300181.SZ,300181,佐力药业,中成药,2.13,8.0,1.0,7.66
366,600250.SH,600250,南纺股份,商贸代理,2.13,8.0,1.0,9.5
367,002564.SZ,002564,天沃科技,化工机械,2.12,8.0,0.0,6.11
368,600279.SH,600279,重庆港九,港口,2.11,7.0,0.0,5.06
369,600184.SH,600184,光电股份,专用机械,2.11,4.0,1.0,12.13
370,601606.SH,601606,长城军工,专用机械,2.11,7.0,1.0,16.75
371,300119.SZ,300119,瑞普生物,生物制药,2.1,8.0,1.0,13.71
372,603333.SH,603333,尚纬股份,电气设备,2.1,8.0,1.0,8.08
373,000422.SZ,000422,*ST宜化,农药化肥,2.1,9.0,0.0,4.28
374,600540.SH,600540,新赛股份,种植业,2.09,8.0,1.0,4.98
375,603136.SH,603136,天目湖,旅游景点,2.09,8.0,0.0,39.93
376,603365.SH,603365,水星家纺,纺织,2.08,8.0,0.0,19.12
377,300674.SZ,300674,宇信科技,软件服务,2.08,1.0,0.0,34.31
378,000687.SZ,000687,华讯方舟,通信设备,2.07,7.0,1.0,8.77
379,600939.SH,600939,重庆建工,建筑施工,2.07,7.0,0.0,6.11
380,600855.SH,600855,航天长峰,专用机械,2.07,9.0,0.0,17.42
381,002843.SZ,002843,泰嘉股份,钢加工,2.07,8.0,0.0,16.78
382,600819.SH,600819,耀皮玻璃,玻璃,2.07,8.0,0.0,5.83
383,600871.SH,600871,*ST油服,石油开采,2.06,9.0,1.0,2.48
384,600391.SH,600391,航发科技,航空,2.06,4.0,1.0,16.63
385,002188.SZ,002188,*ST巴士,广告包装,2.05,8.0,0.0,4.44
386,000011.SZ,000011,深物业A,区域地产,2.05,8.0,1.0,11.46
387,600135.SH,600135,乐凯胶片,化工原料,2.05,7.0,1.0,8.53
388,600177.SH,600177,雅戈尔,服饰,2.05,7.0,1.0,8.91
389,000957.SZ,000957,中通客车,汽车整车,2.04,8.0,0.0,9.0
390,000090.SZ,000090,天健集团,建筑施工,2.04,8.0,1.0,6.55
391,600543.SH,600543,莫高股份,红黄药酒,2.04,8.0,0.0,8.36
392,600262.SH,600262,北方股份,汽车整车,2.04,8.0,1.0,21.7
393,600150.SH,600150,*ST船舶,船舶,2.04,9.0,0.0,19.86
394,002116.SZ,002116,中国海诚,建筑施工,2.03,8.0,1.0,10.93
395,002471.SZ,002471,中超控股,电气设备,2.02,6.0,1.0,3.84
396,002897.SZ,002897,意华股份,元器件,2.02,7.0,1.0,23.2
397,600146.SH,600146,商赢环球,服饰,2.02,8.0,0.0,10.25
398,600258.SH,600258,首旅酒店,酒店餐饮,2.02,9.0,1.0,20.67
399,002163.SZ,002163,中航三鑫,装修装饰,2.02,8.0,1.0,6.03
400,300221.SZ,300221,银禧科技,塑料,2.01,7.0,0.0,8.08
401,002193.SZ,002193,如意集团,纺织,2.01,7.0,1.0,11.46
402,002299.SZ,002299,圣农发展,农业综合,2.01,1.0,0.0,25.82
403,002619.SZ,002619,艾格拉斯,互联网,2.01,7.0,1.0,4.41
404,600823.SH,600823,世茂股份,全国地产,2.01,8.0,0.0,5.21
405,603156.SH,603156,养元饮品,软饮料,2.01,8.0,0.0,54.89
