code,name,outstanding,p_change_range0,p_change_range1,normalizing_std,stop_mark
600804,鹏博士,14.32,0.12,18.923,0.056,
002920,德赛西威,1.0,4.86,18.915,0.045,
002544,杰赛科技,5.12,-0.76,18.912,0.06,
002928,华夏航空,0.41,-2.34,18.885,0.059,
600136,当代明诚,3.44,1.32,18.862,0.057,
000890,法 尔 胜,3.8,-1.35,18.825,0.061,
002114,罗平锌电,3.23,-0.37,18.822,0.072,
600703,三安光电,40.78,3.5,18.799,0.038,
002889,东方嘉盛,0.37,5.13,18.796,0.047,
300117,嘉寓股份,7.14,-0.76,18.784,0.076,
002792,通宇通讯,0.71,-0.63,18.774,0.036,
600657,信达地产,15.24,1.19,18.77,0.049,
002134,天津普林,2.46,0.45,18.77,0.063,
002415,海康威视,79.07,3.84,18.764,0.061,
000716,黑芝麻,5.81,0.0,18.731,0.065,
600978,宜华生活,14.83,-0.21,18.721,0.058,
002633,申科股份,1.49,0.44,18.707,0.049,
002843,泰嘉股份,0.84,-1.23,18.688,0.083,
000701,厦门信达,3.78,1.93,18.676,0.059,
002418,康盛股份,10.04,-1.75,18.671,0.072,
000521,长虹美菱,8.03,3.06,18.666,0.05,
002423,中原特钢,5.03,3.13,18.63,0.065,
600109,国金证券,30.24,6.67,18.623,0.04,
002205,国统股份,1.16,0.38,18.597,0.061,
002861,瀛通通讯,0.53,3.49,18.565,0.042,
002531,天顺风能,17.69,1.0,18.561,0.068,
300011,鼎汉技术,4.48,-0.93,18.548,0.059,
600143,金发科技,25.6,-1.77,18.544,0.056,
600735,新华锦,3.76,-1.07,18.535,0.083,
300029,天龙光电,2.0,-0.17,18.511,0.057,
002429,兆驰股份,39.73,0.0,18.482,0.057,
002501,利源精制,10.01,1.64,18.48,0.06,
002801,微光股份,0.29,-2.06,18.466,0.058,
600410,华胜天成,10.95,0.89,18.449,0.048,
002709,天赐材料,1.96,8.91,18.424,0.049,
600704,物产中大,43.07,2.39,18.422,0.044,
002840,华统股份,1.47,-0.86,18.41,0.069,
300051,三五互联,2.54,1.79,18.41,0.051,
600641,万业企业,8.06,4.07,18.397,0.051,
600387,海越能源,3.86,5.32,18.374,0.055,
300137,先河环保,4.74,-0.24,18.37,0.054,
002667,鞍重股份,1.64,-0.56,18.36,0.057,
600791,京能置业,4.52,-0.24,18.358,0.075,
000600,建投能源,10.9,2.44,18.352,0.049,
600571,信雅达,4.31,2.4,18.336,0.051,
002389,南洋科技,6.77,0.41,18.33,0.052,
002157,正邦科技,21.6,-0.42,18.319,0.063,
002518,科士达,5.58,1.27,18.307,0.061,
002851,麦格米特,1.27,1.64,18.302,0.038,
600883,博闻科技,2.36,0.86,18.297,0.056,
002913,奥士康,0.36,2.53,18.296,0.053,
002640,跨境通,10.13,2.23,18.292,0.054,
002723,金莱特,1.74,-1.09,18.286,0.083,
000976,华铁股份,5.87,1.15,18.284,0.045,
002755,东方新星,1.72,2.05,18.274,0.05,
002524,光正集团,5.01,1.13,18.272,0.064,
000757,浩物股份,4.52,-0.69,18.271,0.054,
002175,东方网络,5.24,-0.26,18.262,0.065,
002234,民和股份,1.91,0.77,18.243,0.046,
002322,理工环科,3.61,2.79,18.229,0.046,
600392,盛和资源,13.96,-1.34,18.201,0.047,
000809,铁岭新城,8.25,-1.44,18.189,0.074,
000055,方大集团,6.78,5.88,18.188,0.055,
600105,永鼎股份,12.38,-0.81,18.145,0.066,
300161,华中数控,1.68,-0.52,18.113,0.056,
002635,安洁科技,3.66,0.31,18.103,0.037,
600390,五矿资本,5.14,4.51,18.061,0.037,
002181,粤 传 媒,11.34,-1.32,18.051,0.067,
600626,申达股份,7.1,4.02,18.043,0.053,
600203,福日电子,3.6,0.0,18.041,0.062,
300271,华宇软件,5.59,3.52,18.034,0.031,
300116,坚瑞沃能,12.94,-1.55,18.033,0.09,
002676,顺威股份,7.2,0.0,18.015,0.097,
002400,省广集团,16.57,1.65,18.002,0.058,
600021,上海电力,8.56,-0.52,17.993,0.053,
000531,穗恒运Ａ,6.85,2.34,17.99,0.047,
000155,川能动力,9.37,-0.48,17.975,0.055,
002630,华西能源,9.7,-1.64,17.967,0.071,
000960,锡业股份,14.06,-1.39,17.956,0.055,
002833,弘亚数控,0.54,-0.12,17.953,0.051,
002700,新疆浩源,3.13,-4.55,17.949,0.083,
002124,天邦股份,7.92,5.47,17.947,0.063,
300232,洲明科技,4.52,0.0,17.931,0.062,
002220,天宝食品,5.45,-0.66,17.902,0.092,
000586,汇源通信,1.93,-1.48,17.858,0.091,
300259,新天科技,7.24,-2.62,17.844,0.07,
002556,辉隆股份,6.99,0.84,17.835,0.043,
002438,江苏神通,3.71,0.17,17.825,0.052,
300031,宝通科技,2.57,-0.08,17.819,0.061,
000880,潍柴重机,1.35,0.79,17.803,0.054,
300152,科融环境,7.13,-1.38,17.799,0.081,
002207,ST准油,2.37,0.79,17.792,0.051,
601137,博威合金,5.64,0.4,17.785,0.043,
002424,贵州百灵,7.28,0.32,17.784,0.05,
600083,博信股份,2.28,-0.49,17.75,0.067,
300203,聚光科技,4.52,-1.52,17.747,0.042,
600469,风神股份,5.62,-0.49,17.742,0.051,
002785,万里石,0.97,3.24,17.733,0.046,
002363,隆基机械,3.86,2.76,17.721,0.054,
000573,粤宏远Ａ,6.22,-1.91,17.72,0.076,
600215,长春经开,4.65,5.56,17.704,0.051,
300090,盛运环保,8.77,-1.38,17.704,0.082,
000903,云内动力,17.58,0.72,17.704,0.062,
300256,星星科技,7.75,0.0,17.677,0.057,
002568,百润股份,4.59,2.1,17.676,0.055,
002289,宇顺电子,2.59,0.0,17.654,0.071,
002675,东诚药业,7.0,0.66,17.611,0.055,
002184,海得控制,1.36,3.32,17.595,0.044,
300097,智云股份,1.75,0.08,17.589,0.041,
002600,领益智造,15.13,-0.62,17.583,0.053,
002787,华源控股,1.02,0.39,17.581,0.058,
600738,兰州民百,4.21,0.0,17.569,0.045,
002641,永高股份,8.96,-0.84,17.542,0.06,
600815,厦工股份,9.59,1.16,17.54,0.044,
600562,国睿科技,6.02,-0.39,17.521,0.08,
300165,天瑞仪器,3.15,-0.22,17.501,0.05,
600653,申华控股,17.46,2.38,17.482,0.058,
002777,久远银海,0.6,0.89,17.477,0.045,
300148,天舟文化,8.01,-1.29,17.451,0.061,
300208,恒顺众昇,6.07,1.2,17.45,0.053,
300004,南风股份,4.46,-2.59,17.442,0.07,
600074,*ST保千,10.26,4.22,17.439,0.057,
000969,安泰科技,9.05,0.19,17.428,0.054,
600851,海欣股份,7.38,1.37,17.42,0.051,
000617,中油资本,2.88,4.12,17.419,0.034,
600731,湖南海利,3.27,1.24,17.419,0.055,
002538,司尔特,6.98,1.01,17.41,0.048,
600335,国机汽车,10.3,-0.41,17.401,0.055,
300262,巴安水务,4.17,3.14,17.401,0.047,
000032,深桑达Ａ,2.79,4.12,17.395,0.048,
600175,美都能源,24.51,-0.76,17.39,0.058,
002042,华孚时尚,15.18,1.07,17.388,0.057,
000523,广州浪奇,5.35,0.88,17.379,0.06,
001696,宗申动力,8.91,0.19,17.377,0.044,
600178,东安动力,4.62,0.21,17.37,0.045,
000720,*ST新能,8.63,0.0,17.361,0.05,
600616,金枫酒业,5.15,1.86,17.348,0.052,
600649,城投控股,24.21,3.57,17.342,0.046,
600539,*ST狮头,2.3,1.19,17.342,0.051,
000820,神雾节能,2.88,-0.81,17.338,0.078,
300182,捷成股份,17.95,1.81,17.336,0.054,
600193,*ST创兴,4.25,2.3,17.331,0.053,
600425,青松建化,13.79,-0.61,17.329,0.057,
600576,祥源文化,4.8,0.0,17.326,0.058,
600222,太龙药业,5.67,-0.5,17.324,0.055,
600380,健康元,19.37,0.24,17.312,0.055,
002239,奥特佳,30.26,-0.84,17.305,0.071,
002446,盛路通信,4.22,-0.16,17.299,0.059,
600830,香溢融通,4.54,1.81,17.295,0.039,
600734,实达集团,3.55,2.17,17.295,0.06,
002591,恒大高新,1.82,3.95,17.286,0.043,
002253,川大智胜,2.07,-1.1,17.26,0.055,
002202,金风科技,28.55,-1.15,17.248,0.095,
000710,贝瑞基因,0.62,-1.06,17.242,0.047,
600538,国发股份,4.64,0.73,17.235,0.064,
002693,双成药业,4.03,-0.22,17.199,0.062,
000810,创维数字,9.7,0.6,17.197,0.056,
600461,洪城水业,5.94,10.03,17.195,0.04,
600800,天津磁卡,6.11,-1.48,17.187,0.064,
600696,ST岩石,3.41,2.92,17.18,0.059,
002094,青岛金王,6.01,0.52,17.161,0.08,
300129,泰胜风能,4.91,0.61,17.155,0.053,
002216,三全食品,5.72,1.65,17.148,0.038,
002129,中环股份,26.44,1.24,17.148,0.054,
002856,美芝股份,0.3,9.99,17.136,0.047,
002758,华通医药,1.79,3.69,17.128,0.043,
002130,沃尔核材,9.46,0.0,17.117,0.045,
002562,兄弟科技,4.98,1.72,17.103,0.057,
000776,广发证券,59.19,4.5,17.092,0.037,
300052,中青宝,2.6,-0.31,17.089,0.049,
600885,宏发股份,7.45,-0.17,17.08,0.052,
000628,高新发展,1.88,0.86,17.059,0.059,
000700,模塑科技,6.97,2.34,17.052,0.053,
600867,通化东宝,19.73,-1.96,17.039,0.062,
002548,金新农,3.12,-1.49,17.011,0.045,
600936,广西广电,11.96,2.08,17.01,0.043,
600455,博通股份,0.62,1.02,17.006,0.041,
000899,赣能股份,6.47,2.02,17.002,0.058,
600358,国旅联合,4.32,-0.24,17.001,0.056,
300264,佳创视讯,3.19,0.2,16.99,0.052,
000995,*ST皇台,1.77,0.32,16.988,0.069,
300045,华力创通,3.67,4.9,16.973,0.044,
300167,迪威迅,3.0,-1.6,16.945,0.069,
002917,金奥博,0.28,-2.71,16.934,0.065,
300106,西部牧业,2.11,1.65,16.929,0.056,
002663,普邦股份,12.5,-0.69,16.928,0.056,
002736,国信证券,82.0,2.17,16.922,0.042,
002664,长鹰信质,3.5,-0.61,16.901,0.062,
600218,全柴动力,3.69,1.15,16.889,0.053,
000909,数源科技,3.11,2.33,16.874,0.042,
002447,晨鑫科技,13.27,0.89,16.872,0.069,
002017,东信和平,3.45,2.69,16.87,0.048,
000756,新华制药,3.99,-1.03,16.854,0.06,
001896,豫能控股,9.3,2.66,16.844,0.05,
002451,摩恩电气,4.16,3.97,16.841,0.062,
601099,太平洋,64.79,0.97,16.799,0.054,
000711,京蓝科技,4.06,3.05,16.79,0.062,
002348,高乐股份,7.38,-0.82,16.781,0.075,
600665,天地源,8.64,2.9,16.779,0.051,
300235,方直科技,1.06,-1.12,16.774,0.046,
002364,中恒电气,5.15,6.9,16.749,0.05,
600422,昆药集团,7.6,1.86,16.748,0.044,
000798,中水渔业,3.19,1.72,16.741,0.047,
600297,广汇汽车,71.51,1.3,16.741,0.048,
002797,第一创业,19.18,7.62,16.735,0.042,
002821,凯莱英,1.21,0.86,16.729,0.072,
000503,国新健康,8.99,1.11,16.724,0.053,
000923,河北宣工,1.98,2.62,16.71,0.053,
600213,亚星客车,2.2,0.14,16.708,0.067,
601567,三星医疗,14.18,2.58,16.681,0.044,
002718,友邦吊顶,0.26,-0.07,16.678,0.051,
000721,西安饮食,4.36,1.32,16.672,0.053,
300128,锦富技术,10.66,-0.82,16.67,0.07,
300183,东软载波,2.64,-0.66,16.658,0.045,
600637,东方明珠,34.15,5.42,16.656,0.042,
300075,数字政通,3.05,-0.34,16.655,0.047,
600775,南京熊猫,6.72,0.9,16.644,0.051,
600420,现代制药,5.75,-0.37,16.643,0.051,
300048,合康新能,9.76,1.11,16.641,0.063,
300251,光线传媒,27.52,-1.6,16.634,0.06,
000812,陕西金叶,6.69,3.55,16.619,0.047,
002362,汉王科技,1.78,-0.85,16.611,0.051,
000687,华讯方舟,7.53,-0.69,16.587,0.056,
600093,易见股份,11.22,3.42,16.571,0.046,
600084,中葡股份,11.24,-1.1,16.547,0.06,
002133,广宇集团,6.35,2.46,16.54,0.057,
600365,通葡股份,4.0,0.0,16.532,0.056,
002799,环球印务,0.77,-0.32,16.531,0.045,
002687,乔治白,3.19,10.01,16.514,0.067,
300184,力源信息,3.1,4.07,16.508,0.041,
600526,菲达环保,5.47,1.55,16.486,0.052,
000707,*ST双环,4.64,1.02,16.483,0.06,
600280,中央商场,11.48,-0.24,16.479,0.057,
002335,科华恒盛,2.25,-1.14,16.469,0.052,
002528,英飞拓,8.64,-0.25,16.467,0.054,
600875,东方电气,19.97,-0.12,16.465,0.045,
600419,天润乳业,2.07,0.19,16.464,0.069,
600753,东方银星,1.28,10.01,16.451,0.035,
002318,久立特材,8.21,0.45,16.435,0.048,
600643,爱建集团,14.34,4.25,16.42,0.043,
300111,向日葵,11.17,-0.82,16.42,0.061,
600850,华东电脑,4.23,5.41,16.41,0.038,
300179,四方达,3.26,0.45,16.397,0.047,
002008,大族激光,9.93,4.97,16.39,0.043,
002168,深圳惠程,7.84,2.65,16.388,0.048,
002163,中航三鑫,8.03,-0.86,16.376,0.046,
600636,三爱富,4.47,2.1,16.368,0.04,
002101,广东鸿图,4.26,3.33,16.367,0.04,
002746,仙坛股份,2.42,2.65,16.364,0.039,
002317,众生药业,7.79,0.65,16.351,0.042,
002329,皇氏集团,5.19,-1.54,16.349,0.06,
000668,荣丰控股,1.47,1.9,16.345,0.058,
600776,东方通信,9.56,0.42,16.342,0.05,
002118,紫鑫药业,10.25,0.0,16.318,0.074,
600405,动力源,5.53,2.31,16.315,0.05,
002940,昂利康,0.23,0.57,16.315,0.027,
002383,合众思壮,4.86,1.41,16.31,0.053,
002293,罗莱生活,7.0,1.39,16.302,0.047,
002618,丹邦科技,5.48,1.75,16.301,0.056,
600765,中航重机,7.78,0.6,16.297,0.029,
000722,湖南发展,4.64,1.38,16.29,0.045,
002541,鸿路钢构,3.71,2.55,16.274,0.039,
600819,耀皮玻璃,7.47,2.68,16.264,0.047,
600769,祥龙电业,3.75,0.0,16.254,0.064,
002082,万邦德,2.38,-1.0,16.242,0.05,
600650,锦江投资,3.91,4.2,16.241,0.046,
600739,辽宁成大,15.3,3.57,16.235,0.042,
002689,远大智能,10.41,0.0,16.231,0.059,
600331,宏达股份,20.32,2.32,16.229,0.05,
000428,华天酒店,7.19,1.38,16.224,0.05,
002278,神开股份,3.44,1.69,16.221,0.043,
002327,富安娜,5.2,2.17,16.207,0.051,
002577,雷柏科技,2.81,1.83,16.169,0.045,
600872,中炬高新,7.97,4.18,16.148,0.063,
002692,睿康股份,7.15,-0.65,16.141,0.077,
002436,兴森科技,11.99,1.49,16.138,0.051,
600156,华升股份,4.02,0.94,16.13,0.054,
300228,富瑞特装,4.06,-3.03,16.129,0.063,
600400,红豆股份,24.96,10.0,16.104,0.033,
002165,红 宝 丽,5.27,1.76,16.094,0.053,
000551,创元科技,4.0,0.84,16.091,0.051,
002144,宏达高科,1.41,-0.99,16.085,0.052,
300109,新开源,1.58,0.73,16.075,0.05,
002286,保龄宝,3.29,0.64,16.066,0.051,
002190,成飞集成,3.45,1.79,16.024,0.043,
300057,万顺股份,2.92,2.08,16.023,0.044,
002573,清新环境,10.79,1.36,16.022,0.056,
002036,联创电子,3.95,2.32,16.02,0.045,
000702,正虹科技,2.67,0.87,16.016,0.054,
300050,世纪鼎利,3.69,-0.2,16.008,0.058,
000411,英特集团,2.07,-0.62,16.006,0.058,
300030,阳普医疗,2.54,3.22,16.005,0.043,
002504,弘高创意,4.15,1.19,16.004,0.068,
002810,山东赫达,0.61,2.69,15.984,0.038,
000920,南方汇通,4.22,1.21,15.975,0.043,
300159,新研股份,9.68,1.73,15.962,0.051,
002559,亚威股份,3.07,1.91,15.94,0.051,
002056,横店东磁,16.42,2.26,15.933,0.04,
600847,万里股份,1.53,0.17,15.93,0.035,
600027,华电国际,69.96,-1.35,15.925,0.037,
600112,天成控股,5.09,-1.43,15.922,0.052,
600698,湖南天雁,7.37,-1.84,15.912,0.047,
300007,汉威科技,2.27,0.38,15.881,0.046,
002189,利达光电,1.97,1.88,15.87,0.048,
300155,安居宝,2.77,1.26,15.862,0.046,
600890,中房股份,5.79,3.6,15.861,0.05,
600300,维维股份,16.72,5.0,15.861,0.049,
002870,香山股份,0.37,3.98,15.81,0.043,
300242,佳云科技,5.16,-0.23,15.807,0.065,
600898,国美通讯,2.53,1.94,15.8,0.051,
002063,远光软件,7.56,-0.34,15.791,0.046,
002402,和而泰,7.19,1.0,15.778,0.052,
000555,神州信息,9.35,0.8,15.777,0.044,
002214,大立科技,3.57,1.58,15.773,0.044,
000782,美达股份,4.46,0.58,15.771,0.05,
300123,亚光科技,3.07,3.59,15.768,0.038,
300272,开能健康,2.67,1.9,15.762,0.046,
300218,安利股份,2.16,1.79,15.755,0.049,
600644,乐山电力,5.38,2.08,15.753,0.048,
002004,华邦健康,16.87,0.95,15.742,0.044,
300198,纳川股份,7.49,0.92,15.736,0.06,
002470,金正大,27.26,3.85,15.736,0.042,
002732,燕塘乳业,1.56,-2.11,15.735,0.049,
300221,银禧科技,4.23,0.63,15.734,0.055,
000430,张家界,3.32,1.39,15.707,0.051,
600829,人民同泰,5.8,0.46,15.695,0.051,
300246,宝莱特,1.08,-0.08,15.685,0.049,
600261,阳光照明,14.52,1.76,15.678,0.039,
002433,太安堂,6.92,0.74,15.673,0.047,
600537,亿晶光电,11.76,0.98,15.671,0.05,
600602,云赛智联,8.8,2.28,15.668,0.042,
300254,仟源医药,1.62,0.13,15.661,0.049,
002652,扬子新材,5.1,0.43,15.648,0.06,
601519,大智慧,19.88,2.31,15.633,0.039,
002219,恒康医疗,18.65,2.18,15.633,0.077,
002511,中顺洁柔,12.57,1.55,15.62,0.06,
002106,莱宝高科,7.04,1.56,15.612,0.044,
601208,东材科技,6.27,0.0,15.61,0.046,
600483,福能股份,12.58,-0.11,15.605,0.039,
600550,保变电气,15.35,-0.25,15.588,0.055,
000977,浪潮信息,12.84,0.94,15.543,0.042,
600503,华丽家族,16.02,3.27,15.538,0.051,
002763,汇洁股份,1.82,-0.11,15.534,0.053,
300091,金通灵,7.73,-1.95,15.528,0.068,
002454,松芝股份,6.17,1.3,15.523,0.04,
002002,鸿达兴业,25.49,0.0,15.498,0.044,
002832,比音勒芬,0.79,-1.47,15.496,0.05,
000682,东方电子,9.78,1.99,15.486,0.05,
300146,汤臣倍健,8.79,-1.41,15.479,0.065,
002312,三泰控股,10.14,0.29,15.474,0.056,
300002,神州泰岳,14.07,-1.52,15.467,0.053,
002095,生 意 宝,2.52,2.34,15.463,0.038,
002842,翔鹭钨业,0.72,-1.6,15.457,0.051,
002154,报 喜 鸟,11.04,3.13,15.455,0.044,
002926,华西证券,5.25,4.97,15.438,0.035,
002238,天威视讯,6.17,2.95,15.426,0.048,
000591,太阳能,20.37,-0.59,15.404,0.056,
600781,辅仁药业,1.78,0.31,15.391,0.04,
600517,置信电气,12.45,2.46,15.382,0.046,
002315,焦点科技,1.28,1.67,15.38,0.042,
600308,华泰股份,11.68,1.46,15.377,0.036,
600292,远达环保,7.81,1.08,15.377,0.043,
600288,大恒科技,4.37,-0.14,15.369,0.047,
601588,北辰实业,26.6,2.33,15.362,0.045,
002703,浙江世宝,5.53,-0.24,15.362,0.035,
600592,龙溪股份,4.0,2.42,15.36,0.044,
002527,新时达,4.22,1.01,15.347,0.043,
002081,金 螳 螂,25.71,-0.22,15.347,0.046,
600220,江苏阳光,17.83,-0.43,15.344,0.063,
000779,三毛派神,1.86,0.86,15.331,0.051,
600552,凯盛科技,7.4,0.51,15.329,0.046,
000788,北大医药,5.96,1.65,15.318,0.053,
002643,万润股份,8.92,2.21,15.316,0.044,
300250,初灵信息,1.39,0.33,15.311,0.038,
000023,深天地Ａ,1.39,2.88,15.298,0.047,
002462,嘉事堂,2.49,-0.71,15.288,0.046,
002613,北玻股份,6.3,3.0,15.286,0.045,
002284,亚太股份,6.86,0.41,15.281,0.049,
600490,鹏欣资源,14.91,2.04,15.272,0.059,
600533,栖霞建设,10.5,0.29,15.269,0.071,
000661,长春高新,1.7,-0.49,15.266,0.046,
002021,中捷资源,6.87,-0.63,15.259,0.061,
000876,新 希 望,41.75,-0.44,15.257,0.05,
600241,时代万恒,2.26,-2.23,15.254,0.057,
600716,凤凰股份,9.1,-0.53,15.253,0.05,
002127,南极电商,14.82,3.2,15.235,0.053,
002642,荣之联,5.16,2.21,15.232,0.043,
601360,三六零,3.97,-1.36,15.231,0.042,
002431,棕榈股份,13.25,0.46,15.221,0.051,
002551,尚荣医疗,4.08,3.22,15.219,0.045,
000156,华数传媒,12.8,4.64,15.213,0.048,
002688,金河生物,5.33,4.46,15.211,0.04,
600525,长园集团,13.06,3.57,15.211,0.06,
002069,獐子岛,6.89,0.0,15.205,0.055,
002230,科大讯飞,18.18,0.75,15.204,0.043,
300214,日科化学,3.09,2.48,15.202,0.046,
002342,巨力索具,8.81,0.0,15.189,0.046,
000409,*ST地矿,4.06,2.66,15.188,0.061,
600208,新湖中宝,85.98,-1.13,15.174,0.042,
600969,郴电国际,3.7,0.81,15.172,0.045,
002887,绿茵生态,0.51,0.39,15.162,0.043,
002793,东音股份,0.64,3.27,15.153,0.048,
000950,重药控股,7.11,-0.51,15.132,0.06,
002162,悦心健康,8.54,0.95,15.122,0.048,
300243,瑞丰高材,1.68,2.56,15.117,0.043,
300222,科大智能,3.42,-1.09,15.113,0.048,
002590,万安科技,4.34,0.28,15.105,0.044,
002140,东华科技,4.4,1.38,15.101,0.044,
300078,思创医惠,4.87,-1.23,15.083,0.051,
000949,新乡化纤,12.2,0.69,15.073,0.049,
000601,韶能股份,10.8,0.98,15.06,0.046,
300239,东宝生物,4.45,0.94,15.057,0.048,
002096,南岭民爆,3.71,1.55,15.046,0.049,
000901,航天科技,5.67,1.65,15.034,0.042,
600838,上海九百,4.01,2.38,15.034,0.047,
002553,南方轴承,2.34,1.85,15.029,0.05,
002500,山西证券,28.29,2.14,15.028,0.039,
002185,华天科技,21.3,0.23,15.022,0.047,
600353,旭光股份,5.44,0.44,15.008,0.045,
002829,星网宇达,0.61,1.93,15.005,0.042,
002471,中超控股,12.57,2.28,15.003,0.047,
300022,吉峰科技,3.21,0.74,14.993,0.05,
002620,瑞和股份,3.04,2.8,14.99,0.043,
002678,珠江钢琴,13.57,2.03,14.987,0.044,
300040,九洲电气,2.33,0.9,14.985,0.043,
300174,元力股份,2.21,-0.94,14.981,0.059,
300059,东方财富,41.53,0.58,14.969,0.04,
600796,钱江生化,3.01,1.25,14.968,0.098,
600633,浙数文化,12.9,1.14,14.961,0.046,
000605,渤海股份,2.73,0.12,14.953,0.062,
002806,华锋股份,0.58,-2.02,14.944,0.046,
002272,川润股份,3.21,-1.3,14.938,0.046,
000587,金洲慈航,12.13,-0.96,14.927,0.076,
002355,兴民智通,3.9,1.48,14.925,0.047,
002588,史丹利,7.3,1.15,14.917,0.046,
002360,同德化工,2.97,0.53,14.916,0.037,
600360,华微电子,7.38,1.05,14.91,0.048,
002031,巨轮智能,18.91,1.41,14.905,0.044,
600833,第一医药,2.23,2.25,14.897,0.044,
600096,云天化,11.22,0.19,14.893,0.044,
600152,维科技术,2.95,1.86,14.874,0.039,
000419,通程控股,5.43,0.65,14.867,0.042,
300032,金龙机电,7.89,0.27,14.866,0.068,
600881,亚泰集团,32.23,1.09,14.86,0.041,
600088,中视传媒,3.98,-0.22,14.858,0.044,
002231,奥维通信,3.06,-1.14,14.816,0.063,
600759,洲际油气,22.58,-1.59,14.815,0.051,
600361,华联综超,6.66,0.78,14.806,0.047,
000783,长江证券,55.29,3.56,14.802,0.036,
000582,北部湾港,2.63,0.24,14.802,0.048,
002800,天顺股份,0.35,0.83,14.796,0.059,
600345,长江通信,1.98,2.88,14.796,0.04,
002111,威海广泰,3.27,1.92,14.791,0.033,
600960,渤海汽车,6.8,0.66,14.776,0.049,
000715,中兴商业,2.79,0.62,14.764,0.047,
002375,亚厦股份,12.52,1.25,14.764,0.049,
000739,普洛药业,11.47,-1.64,14.75,0.056,
002073,软控股份,8.19,0.38,14.749,0.044,
600289,*ST信通,5.66,1.58,14.738,0.053,
601216,君正集团,84.38,0.32,14.738,0.045,
002694,顾地科技,4.99,1.73,14.72,0.044,
002330,得利斯,5.02,0.23,14.707,0.037,
300062,中能电气,1.89,0.56,14.703,0.047,
601566,九牧王,5.75,2.82,14.703,0.052,
002507,涪陵榨菜,7.72,0.48,14.7,0.06,
002009,天奇股份,2.71,0.24,14.686,0.048,
002100,天康生物,9.63,-0.21,14.66,0.044,
600573,惠泉啤酒,2.5,0.61,14.657,0.033,
000663,永安林业,2.23,-0.14,14.651,0.052,
600051,宁波联合,3.11,2.62,14.647,0.045,
600166,福田汽车,66.7,0.54,14.64,0.034,
002287,奇正藏药,4.06,0.3,14.629,0.035,
600611,大众交通,15.63,1.93,14.623,0.038,
000665,湖北广电,6.36,1.33,14.593,0.044,
002153,石基信息,4.84,1.97,14.587,0.04,
000900,现代投资,15.17,0.69,14.581,0.047,
600732,ST新梅,4.46,2.24,14.567,0.043,
002444,巨星科技,10.12,-0.1,14.565,0.045,
002918,蒙娜丽莎,0.59,4.22,14.565,0.037,
300044,赛为智能,4.68,-1.17,14.555,0.053,
600444,国机通用,1.46,0.56,14.547,0.047,
002371,北方华创,3.59,2.55,14.538,0.051,
600149,ST坊展,3.8,-0.37,14.536,0.063,
300220,金运激光,1.25,-0.44,14.536,0.045,
300112,万讯自控,1.69,-0.96,14.517,0.05,
002396,星网锐捷,5.39,-0.22,14.515,0.041,
600363,联创光电,4.43,1.68,14.499,0.041,
600588,用友网络,19.0,1.13,14.495,0.037,
002344,海宁皮城,12.71,1.01,14.485,0.045,
002532,新界泵业,3.78,-0.53,14.479,0.036,
600078,澄星股份,6.63,1.14,14.47,0.046,
002778,高科石化,0.56,0.84,14.456,0.042,
600618,氯碱化工,7.5,0.0,14.456,0.04,
601330,绿色动力,1.16,-2.56,14.434,0.056,
002738,中矿资源,1.26,0.63,14.423,0.037,
002409,雅克科技,1.83,-0.91,14.407,0.045,
000572,海马汽车,16.42,-0.78,14.407,0.055,
002890,弘宇股份,0.48,-0.28,14.403,0.04,
600370,三房巷,7.97,-0.34,14.399,0.046,
300019,硅宝科技,2.71,1.6,14.393,0.038,
002303,美盈森,15.31,2.17,14.386,0.039,
600866,星湖科技,6.45,-0.27,14.383,0.053,
002084,海鸥住工,4.98,1.18,14.377,0.04,
000423,东阿阿胶,6.54,2.6,14.375,0.051,
002610,爱康科技,42.23,0.0,14.37,0.051,
000017,深中华A,3.03,1.44,14.361,0.061,
300082,奥克股份,6.75,2.97,14.359,0.044,
002210,飞马国际,13.89,-1.04,14.355,0.064,
002393,力生制药,1.82,0.26,14.327,0.042,
601111,中国国航,94.49,-1.44,14.319,0.046,
000005,世纪星源,9.51,1.3,14.298,0.056,
300005,探路者,6.62,-0.81,14.281,0.052,
000565,渝三峡Ａ,4.34,1.25,14.281,0.046,
601016,节能风电,41.56,1.15,14.275,0.04,
002811,亚泰国际,0.45,3.31,14.275,0.04,
000016,深康佳Ａ,15.97,2.04,14.275,0.044,
600579,天华院,4.11,0.44,14.255,0.031,
000988,华工科技,8.91,2.12,14.254,0.057,
300269,联建光电,3.52,-0.3,14.243,0.057,
600790,轻纺城,14.66,1.34,14.235,0.038,
300157,恒泰艾普,6.14,-0.6,14.23,0.044,
300273,和佳股份,5.62,-0.17,14.225,0.045,
000045,深纺织Ａ,4.57,1.11,14.215,0.045,
600816,安信信托,46.73,0.18,14.195,0.048,
002313,日海智能,3.12,-0.15,14.193,0.053,
300119,瑞普生物,2.05,0.13,14.189,0.041,
000859,国风塑业,7.39,-0.92,14.189,0.046,
002565,顺灏股份,6.85,-0.23,14.188,0.046,
002749,国光股份,1.4,-1.46,14.176,0.043,
002790,瑞尔特,0.64,-0.67,14.175,0.051,
601028,玉龙股份,7.83,0.52,14.172,0.054,
000980,众泰汽车,12.46,-0.19,14.165,0.056,
