,ts_code,name,industry,turnover_rate,continuously_up,average_p_change,float_share,free_share,circ_mv
3413,603679.SH,华体科技,电气设备,1.8718,1.0,0.778,3504.6306,3470.1006,90734.8862
3405,603665.SH,康隆达,纺织,1.3625,1.0,1.548,3727.0834,3170.8334,95338.7934
3402,603660.SH,苏州科达,通信设备,0.5219,1.0,1.476,23752.5593,21949.666,457236.7665
3362,603586.SH,金麒麟,汽车配件,3.6843,1.0,-1.913,10010.9114,9110.6383,148862.2525
3356,603577.SH,汇金通,钢加工,1.0459,1.0,0.327,7751.5431,7030.1156,71314.1965
3348,603556.SH,海兴电力,电器仪表,0.5636,1.0,1.4,16775.3612,16775.3612,218750.71
3330,603501.SH,韦尔股份,半导体,3.1944,1.0,3.356,13656.5,13656.5,479479.715
3346,603538.SH,美诺华,化学制药,4.6183,1.0,-0.501,8946.0,7918.0,195470.1
3345,603536.SH,惠发股份,食品,2.6978,1.0,0.454,4200.0,4200.0,37128.0
3344,603535.SH,嘉诚国际,仓储物流,1.429,1.0,0.707,6608.0,5262.5,122380.16
3342,603528.SH,多伦科技,软件服务,1.0118,1.0,1.297,18759.0,18759.0,117243.75
3336,603516.SH,淳中科技,通信设备,2.2455,1.0,0.181,3274.138,3274.138,72358.4498
3333,603507.SH,振江股份,钢加工,1.0514,1.0,1.565,6587.4158,3718.6718,111129.7045
3331,603505.SH,金石资源,矿物制品,1.4093,1.0,-0.144,11203.458,10244.452,155503.997
3007,601311.SH,骆驼股份,电气设备,0.3174,1.0,-0.305,84839.7772,39730.5354,833126.6121
3006,601288.SH,农业银行,银行,0.0405,1.0,0.28,29405529.3904,3543299.0685,105271795.2176
3005,601258.SH,庞大集团,汽车服务,0.2685,1.0,0.667,653847.8402,480952.8902,987310.2387
2547,600522.SH,中天科技,通信设备,0.666,1.0,1.673,306607.2521,229806.4638,2422197.2916
2617,600602.SH,云赛智联,软件服务,0.3589,1.0,-1.838,87957.2617,52683.0379,469691.7775
2615,600600.SH,青岛啤酒,啤酒,0.5974,1.0,2.541,69591.3617,29078.1562,2218572.611
2611,600596.SH,新安股份,农药化肥,1.7756,1.0,0.412,67918.4633,52870.2697,828605.2523
2606,600590.SH,泰豪科技,电气设备,0.22,1.0,0.0,81026.5578,46238.406,472384.832
2604,600588.SH,用友网络,软件服务,0.3323,1.0,0.21,190067.975,90777.1605,4542624.6025
2600,600584.SH,长电科技,半导体,0.7232,1.0,0.201,103591.4811,86883.5827,1032807.0666
2598,600582.SH,天地科技,工程机械,0.1378,1.0,1.348,413858.8892,127160.3528,1556109.4234
2594,600578.SH,京能电力,火力发电,0.1099,1.0,1.324,533502.4303,185455.0215,1632517.4367
2588,600571.SH,信雅达,软件服务,1.2947,1.0,-0.964,43111.1108,31708.095,309968.8867
2587,600570.SH,恒生电子,软件服务,1.0244,1.0,2.272,61780.518,48979.1952,3421405.0868
2584,600567.SH,山鹰纸业,造纸,0.419,1.0,0.629,457065.5837,310408.7305,1462609.8678
2582,600565.SH,迪马股份,全国地产,0.308,1.0,0.0,236877.6284,129432.6001,653782.2544
2580,600562.SH,国睿科技,通信设备,0.4494,1.0,0.855,60152.4065,31838.5834,851156.552
2566,600546.SH,山煤国际,煤炭开采,0.9386,1.0,6.034,198245.614,82045.3189,731526.3157
2561,600538.SH,国发股份,医药商业,1.3092,1.0,-0.711,46440.1185,25939.7672,194584.0965
2553,600529.SH,山东药玻,医疗保健,1.4313,1.0,-0.773,36033.2155,28884.0376,693639.3984
2552,600528.SH,中铁工业,建筑施工,0.7849,1.0,3.112,183774.8895,96494.6388,1887368.1152
2620,600605.SH,汇通能源,商贸代理,0.3573,1.0,0.0,14734.4592,9897.0697,138209.2273
2623,600609.SH,金杯汽车,汽车配件,0.4594,1.0,2.609,109266.7132,64421.9183,386804.1647
2625,600611.SH,大众交通,公共交通,0.2704,1.0,0.5,156331.6364,109013.029,628453.1783
2661,600652.SH,游久游戏,互联网,0.5738,1.0,0.238,83270.3498,49637.0018,350568.1727
2696,600692.SH,亚通股份,房产服务,0.7605,1.0,0.889,25501.0517,23742.2313,173662.1621
2692,600688.SH,上海石化,石油加工,0.0386,1.0,0.2,732881.35,186881.35,3679064.377
2681,600677.SH,航天通信,通信设备,1.8835,1.0,0.777,41642.8086,33893.4159,378116.7021
2680,600676.SH,交运股份,公共交通,0.2044,1.0,0.215,96204.5335,54484.7903,448313.1261
2678,600674.SH,川投能源,水力发电,0.1081,1.0,0.74,440214.048,156797.8245,3596548.7722
2673,600666.SH,奥瑞德,元器件,4.1271,1.0,3.354,80365.5532,66214.2852,272439.2253
2672,600665.SH,天地源,全国地产,0.2218,1.0,-0.276,86412.2521,37270.5561,312812.3526
2659,600650.SH,锦江投资,公共交通,0.207,1.0,0.195,39056.0075,17261.2122,401495.7571
2628,600614.SH,鹏起科技,综合类,0.8235,1.0,-0.269,149146.4104,85074.3453,553333.1826
2657,600648.SH,外高桥,园区开发,0.2395,1.0,0.509,93479.1624,33266.4508,1291882.0244
2652,600642.SH,申能股份,火力发电,0.0565,1.0,0.202,455203.8316,228549.255,2262363.0431
2651,600641.SH,万业企业,区域地产,0.2724,1.0,0.0,80615.8748,41368.8992,754564.5881
2648,600638.SH,新黄浦,区域地产,0.1104,1.0,1.066,67339.6786,31755.2292,638380.1531
2643,600633.SH,浙数文化,互联网,0.2365,1.0,0.707,129026.8941,60353.1638,1103179.9446
2637,600623.SH,华谊集团,汽车配件,0.2494,1.0,0.47,187433.0913,40147.1473,1602552.9306
2634,600620.SH,天宸股份,综合类,0.3313,1.0,-0.489,68667.7113,48139.4369,418873.0389
2549,600525.SH,长园集团,电气设备,1.1287,1.0,0.0,130577.5152,105479.0193,820026.7955
2546,600521.SH,华海药业,化学制药,2.8163,1.0,-7.97,123647.3895,62118.3031,1698915.1317
2701,600697.SH,欧亚集团,百货,0.5118,1.0,2.484,15515.6015,11614.2124,307208.9097
2533,600507.SH,方大特钢,特种钢,0.4963,1.0,1.583,132609.2985,58948.2771,1361897.4956
2473,600419.SH,天润乳业,乳制品,0.6859,1.0,0.353,20711.4418,10685.3498,294102.4736
2470,600415.SH,小商品城,商品城,0.0812,1.0,0.0,544321.4176,240503.4784,1970443.5317
2469,600410.SH,华胜天成,软件服务,2.1131,1.0,1.937,109516.8383,100309.9025,749095.174
2434,600369.SH,西南证券,证券,0.2558,1.0,0.525,564510.9124,272494.5902,2162076.7945
2431,600366.SH,宁波韵升,电器仪表,0.663,1.0,0.186,98819.7217,66242.3766,532638.3
2426,600360.SH,华微电子,半导体,1.5188,1.0,-1.552,73827.8,56477.5534,421556.738
2419,600352.SH,浙江龙盛,染料涂料,0.5836,1.0,1.204,325333.186,251735.633,3009331.9705
2417,600350.SH,山东高速,路桥,0.1519,1.0,1.865,481116.5857,116976.6196,2102479.4795
2416,600348.SH,阳泉煤业,煤炭开采,0.4174,1.0,1.654,240500.0,100196.176,1329965.0
2414,600345.SH,长江通信,通信设备,1.8,1.0,0.939,19800.0,10427.6962,404316.0
2409,600337.SH,美克家居,家居用品,0.1976,1.0,0.49,172831.1198,127887.7466,708607.5912
2407,600335.SH,国机汽车,汽车配件,2.3866,1.0,1.722,102973.6837,36506.1996,790837.8908
2401,600328.SH,兰太实业,化工原料,0.7156,1.0,2.069,43803.1073,29313.8745,324142.994
2392,600318.SH,新力金融,多元金融,0.7312,1.0,1.374,48400.0,29250.8693,357192.0
2387,600312.SH,平高电气,电气设备,1.6921,1.0,4.994,135692.1309,80742.3736,1112675.4734
2382,600307.SH,酒钢宏兴,普钢,0.158,1.0,0.498,626335.7424,283175.6474,1265198.1996
2380,600305.SH,恒顺醋业,食品,1.4839,1.0,2.357,78355.94,43386.1046,782775.8406
2475,600421.SH,ST仰帆,机械基件,0.2772,1.0,-1.35,19560.0,9085.2748,142983.6
2479,600426.SH,华鲁恒升,农药化肥,0.6328,1.0,0.232,161453.0008,109088.5521,2095659.9504
2480,600428.SH,中远海特,水运,0.2431,1.0,0.865,169044.6393,82514.4937,591656.2376
2516,600487.SH,亨通光电,通信设备,0.8642,1.0,1.23,186032.5389,132109.6577,3216502.5976
2532,600506.SH,香梨股份,种植业,1.8187,1.0,-1.057,14770.6873,11242.8858,152138.0792
2529,600502.SH,安徽水利,建筑施工,2.3226,1.0,3.655,91073.0023,91073.0023,361559.8191
2527,600500.SH,中化国际,商贸代理,0.1541,1.0,2.18,208301.2671,93002.374,1464357.9077
2525,600498.SH,烽火通信,通信设备,1.4619,1.0,0.439,110237.4592,61507.4286,3026018.255
2522,600495.SH,晋西车轴,运输设备,1.8596,1.0,2.82,120819.0886,83181.389,572682.48
2520,600491.SH,龙元建设,建筑施工,0.5075,1.0,1.648,94760.0,55973.715,701224.0
2519,600490.SH,鹏欣资源,铜,0.8581,1.0,0.392,149136.9704,122274.4704,763581.2884
2515,600486.SH,扬农化工,农药化肥,0.7527,1.0,2.889,30989.8907,17973.1272,1258189.5624
2482,600433.SH,冠豪高新,造纸,0.1777,1.0,-0.524,127131.5443,79789.1099,483099.8683
2506,600476.SH,湘邮科技,软件服务,0.8976,1.0,-0.232,16107.0,9771.228,207458.16
2502,600468.SH,百利电气,电气设备,0.6437,1.0,3.39,79843.0965,36108.5438,438338.5998
2500,600466.SH,蓝光发展,区域地产,0.3297,1.0,0.389,297308.6143,120344.3902,1534112.4498
2497,600461.SH,洪城水业,水务,0.1446,1.0,0.174,59400.0,37201.7519,340956.0
2496,600460.SH,士兰微,半导体,0.9531,1.0,0.329,124716.8,70232.6451,1139911.552
2492,600455.SH,博通股份,软件服务,0.2462,1.0,-0.165,6245.8,4587.7042,151085.902
2488,600446.SH,金证股份,软件服务,1.0214,1.0,0.588,83500.95,43669.1681,856719.747
2700,600696.SH,ST岩石,区域地产,0.343,1.0,2.055,34056.555,24547.356,152232.8009
2703,600699.SH,均胜电子,汽车配件,0.4256,1.0,1.304,94928.9,59774.7976,2211843.37
3003,601233.SH,桐昆股份,化纤,1.927,1.0,4.22,178436.5958,108503.2078,2027039.7283
2831,600838.SH,上海九百,百货,0.2573,1.0,0.0,40088.1981,29455.6988,262577.6976
2955,601066.SH,中信建投,证券,9.8663,1.0,-2.254,40000.0,40000.0,416400.0
2948,601018.SH,宁波港,港口,0.038,1.0,0.274,1280000.0,312018.7004,4684800.0
2944,601011.SH,宝泰隆,焦炭加工,0.9352,1.0,0.997,159922.0197,100069.1107,972325.8798
2941,601008.SH,连云港,港口,0.2176,1.0,0.314,101521.5101,52255.4183,324868.8323
2939,601006.SH,大秦铁路,铁路,0.138,1.0,1.149,1486679.1491,561497.8895,11774498.8609
2936,601002.SH,晋亿实业,机械基件,3.7553,1.0,4.94,79269.0,46493.4793,488297.04
2935,601001.SH,大同煤业,煤炭开采,0.3386,1.0,1.732,167370.0,71206.7492,786639.0
2933,600999.SH,招商证券,证券,0.1261,1.0,1.005,490369.9507,233003.2992,6899505.2063
2931,600997.SH,开滦股份,煤炭开采,0.7993,1.0,3.13,123464.0,53413.3335,732141.52
2920,600983.SH,惠而浦,家用电器,0.2269,1.0,-0.182,53280.0,19670.04,293040.0
2855,600866.SH,星湖科技,食品,0.3033,1.0,1.429,64539.3465,42331.904,229114.6801
2853,600864.SH,哈投股份,证券,1.6709,1.0,0.855,157831.7353,83169.2693,744965.7906
2852,600863.SH,内蒙华电,火力发电,0.1036,1.0,1.364,580781.7966,250234.4163,1295143.4064
2840,600850.SH,华东电脑,软件服务,0.742,1.0,2.609,42334.0052,20956.2676,749311.892
2838,600847.SH,万里股份,电气设备,0.1567,1.0,0.69,15328.74,11222.2154,178886.3958
2837,600846.SH,同济科技,综合类,1.282,1.0,0.845,62476.1516,47870.9667,447329.2455
2836,600845.SH,宝信软件,软件服务,0.9334,1.0,2.491,64082.983,19510.3898,1397649.8592
2959,601088.SH,中国神华,煤炭开采,0.0675,1.0,2.196,1649103.7955,196046.3503,31464900.4181
2960,601098.SH,中南传媒,出版业,0.2528,1.0,1.182,179600.0,63411.652,2151608.0
2963,601101.SH,昊华能源,煤炭开采,0.5757,1.0,2.677,119999.8272,45243.3561,782398.8733
2986,601179.SH,中国西电,电气设备,0.1503,1.0,0.281,512588.2352,172812.7428,1829939.9997
3001,601229.SH,上海银行,银行,0.1485,1.0,0.26,519557.7433,509062.2453,6000891.9351
2998,601225.SH,陕西煤业,煤炭开采,0.3797,1.0,2.477,1000000.0,368617.48,7860000.0
2993,601211.SH,国泰君安,证券,0.1525,1.0,0.554,751611.3449,432350.5452,12273813.2622
2990,601199.SH,江南水务,水务,0.2395,1.0,0.261,93520.6638,33913.9934,359119.349
2989,601198.SH,东兴证券,证券,0.301,1.0,0.196,275796.0657,130336.0173,2818635.7915
2988,601188.SH,龙江交通,路桥,0.0703,1.0,-0.645,131587.8571,40219.0352,405290.5999
2987,601186.SH,中国铁建,建筑施工,0.7096,1.0,2.543,1150324.55,456050.891,12987164.1695
2984,601169.SH,北京银行,银行,0.0616,1.0,-0.166,1824801.0822,1140679.3788,10948806.4932
2966,601108.SH,财通证券,证券,0.9363,1.0,-0.125,240669.2646,240669.2646,1918134.0389
2983,601168.SH,西部矿业,铜,0.2185,1.0,0.333,238300.0,171070.0,1436949.0
2982,601166.SH,兴业银行,银行,0.1248,1.0,0.0,1905233.6751,1452562.6945,30540895.8119
2980,601162.SH,天风证券,证券,9.9926,1.0,0.322,51800.0,51800.0,322714.0
2975,601137.SH,博威合金,铜,0.1636,1.0,0.544,56392.8571,18824.933,417307.1425
2973,601127.SH,小康股份,汽车配件,0.3587,1.0,-0.919,21556.5597,20859.2797,348785.1359
2969,601116.SH,三江购物,超市连锁,0.3039,1.0,0.427,41075.88,21442.9438,482641.59
2967,601111.SH,中国国航,空运,0.3117,1.0,0.725,944865.3003,267741.2204,7880176.6045
2832,600839.SH,四川长虹,家用电器,0.2941,1.0,0.0,461429.055,350108.8545,1158186.9281
2830,600837.SH,海通证券,证券,0.3715,1.0,1.472,809213.118,767571.0612,7808906.5887
2706,600703.SH,三安光电,半导体,0.3397,1.0,0.353,407842.4928,205237.3263,5799520.2476
2829,600836.SH,界龙实业,广告包装,0.2995,1.0,-0.496,66275.3072,48228.442,265763.9819
2745,600743.SH,华远地产,区域地产,0.2293,1.0,0.794,234610.0874,92329.6035,595909.622
2743,600741.SH,华域汽车,汽车配件,0.2021,1.0,0.678,286650.9126,131406.0855,5108119.2625
2742,600740.SH,山西焦化,焦炭加工,4.7734,1.0,3.233,65683.2758,56878.7267,608227.1339
2741,600739.SH,辽宁成大,商贸代理,0.3316,1.0,0.86,152970.9816,116006.2168,1794349.6142
2739,600737.SH,中粮糖业,食品,0.2892,1.0,0.0,205187.6155,99459.255,1475298.9554
2738,600736.SH,苏州高新,园区开发,0.4973,1.0,0.0,115129.2907,64709.8013,648177.9066
2735,600733.SH,北汽蓝谷,汽车整车,3.6786,1.0,1.026,39690.0,39690.0,390946.5
2733,600731.SH,湖南海利,农药化肥,0.4697,1.0,0.0,32665.3117,22166.4942,152873.6588
2731,600729.SH,重庆百货,百货,1.138,1.0,3.846,40642.6465,22329.3341,1261954.1738
2728,600726.SH,华电能源,火力发电,0.0783,1.0,0.42,153467.5151,65354.8686,366787.3611
2726,600724.SH,宁波富达,区域地产,0.388,1.0,5.793,144494.2664,33279.4209,501395.1044
2720,600718.SH,东软集团,软件服务,0.2331,1.0,0.268,124237.0295,86566.8485,1392697.1007
2719,600717.SH,天津港,港口,0.1953,1.0,0.411,167476.912,72325.6609,1227605.765
2717,600715.SH,文投控股,影视音像,0.5423,1.0,2.359,128419.96,52053.9203,724288.5744
2714,600712.SH,南宁百货,百货,1.0902,1.0,1.985,53795.9475,40796.3119,221101.3442
2710,600707.SH,彩虹股份,元器件,1.0386,1.0,4.241,128796.647,107133.0797,601480.3415
2708,600705.SH,中航资本,多元金融,0.1402,1.0,0.221,861653.3026,474224.1726,3911905.9938
2746,600744.SH,华银电力,火力发电,0.2749,1.0,0.347,82763.4402,61865.1394,239186.3422
2754,600753.SH,东方银星,批发业,1.0924,1.0,-2.043,12800.0,4736.0015,202496.0
2763,600763.SH,通策医疗,医疗保健,0.6434,1.0,-0.55,32064.0,18824.4,1680474.24
2803,600808.SH,马钢股份,普钢,0.5544,1.0,1.108,596775.1186,246128.373,2178229.1829
2828,600835.SH,上海机电,运输设备,0.3324,1.0,1.888,80650.43,31896.4393,1262179.2295
2827,600834.SH,申通地铁,公共交通,0.116,1.0,-0.293,47738.1905,19843.8106,324619.6954
2820,600826.SH,兰生股份,商贸代理,0.8903,1.0,0.592,42064.2288,20150.9068,428634.4915
2814,600820.SH,隧道股份,建筑施工,0.3072,1.0,0.858,314409.6094,177149.5563,1848728.5033
2813,600819.SH,耀皮玻璃,玻璃,0.1949,1.0,0.454,74741.6067,25146.6779,331105.3177
2810,600816.SH,安信信托,多元金融,0.1555,1.0,0.209,467250.9147,368481.1816,2238131.8814
2808,600814.SH,杭州解百,百货,0.2774,1.0,1.708,71502.6758,22694.0342,383254.3423
2795,600798.SH,宁波海运,水运,0.2173,1.0,0.29,103085.0948,66318.2103,356674.428
2767,600767.SH,ST运盛,医疗保健,0.186,1.0,0.638,34091.0182,25793.0254,161250.5161
2794,600797.SH,浙大网新,软件服务,0.6252,1.0,0.251,94111.4444,83361.8385,751009.3263
2783,600784.SH,鲁银投资,普钢,0.5238,1.0,2.448,56817.7846,45124.5623,309088.7482
2778,600779.SH,水井坊,白酒,1.3359,1.0,1.531,48854.5698,29454.9254,1555529.5024
2776,600777.SH,新潮能源,综合类,0.6817,1.0,0.437,326811.5873,292535.8298,751666.6508
2775,600776.SH,东方通信,通信设备,7.2211,1.0,10.035,95600.0064,38528.7324,608016.0407
2774,600775.SH,南京熊猫,通信设备,1.3659,1.0,4.404,67183.8529,32928.4607,382276.123
2768,600768.SH,宁波富邦,铝,0.4368,1.0,-0.196,13374.72,8392.7118,136154.6496
981,002519.SZ,银河电子,通信设备,1.7556,1.0,-2.864,83154.7845,54814.8554,338439.9729
2146,600030.SH,中信证券,证券,0.522,1.0,0.235,981466.17,781496.5954,16733998.1985
417,000948.SZ,南天信息,软件服务,0.6573,1.0,1.134,24650.3123,15735.1879,241819.5637
326,000810.SZ,创维数字,家用电器,0.4417,1.0,0.64,97043.7559,31583.9269,610405.2246
752,002290.SZ,中科新材,家用电器,0.387,1.0,-0.405,21031.9125,9558.1326,206743.6999
517,002054.SZ,德美化工,化工原料,5.1496,1.0,-1.155,31219.3419,20255.7098,187003.858
139,000547.SZ,航天发展,通信设备,0.4882,1.0,0.369,97065.0675,96472.003,793021.6015
138,000546.SZ,金圆股份,水泥,0.1741,1.0,0.573,66102.4218,36672.4212,579718.2392
137,000545.SZ,金浦钛业,化工原料,0.2449,1.0,0.0,95940.3096,61736.2948,350182.13
515,002052.SZ,同洲电子,通信设备,2.0942,1.0,-1.326,74595.3215,62284.6177,277494.596
758,002296.SZ,辉煌科技,通信设备,2.0493,1.0,3.261,32281.7845,31240.277,184006.1717
512,002049.SZ,紫光国微,元器件,1.4351,1.0,-0.548,60459.9648,36573.728,1975227.05
134,000541.SZ,佛山照明,家用电器,0.1969,1.0,0.0,107223.9049,59871.8125,579009.0865
327,000811.SZ,冰轮环境,工程机械,0.5659,1.0,1.487,65303.9322,34072.5561,356559.4698
872,002410.SZ,广联达,软件服务,0.8271,1.0,3.668,88641.2735,63624.7818,2104343.8329
765,002303.SZ,美盈森,造纸,0.193,1.0,0.402,153075.8335,70192.2419,765379.1675
766,002304.SZ,洋河股份,白酒,0.3065,1.0,2.362,124405.1816,50982.6114,12724161.974
504,002041.SZ,登海种业,种植业,0.4548,1.0,0.172,87386.2143,33919.5271,510335.4915
502,002039.SZ,黔源电力,水力发电,0.1654,1.0,0.231,30537.0538,22601.6482,397897.811
772,002310.SZ,东方园林,建筑施工,2.0319,1.0,2.723,153286.3797,128774.1622,1272276.9515
334,000820.SZ,神雾节能,环境保护,3.3256,1.0,3.144,28765.692,25172.6579,198195.6179
499,002036.SZ,联创电子,元器件,0.4873,1.0,0.879,39504.437,35800.0234,362650.7317
122,000528.SZ,柳工,工程机械,0.8799,1.0,0.59,146264.0978,95100.9515,997521.147
775,002313.SZ,日海智能,通信设备,2.2504,1.0,6.34,31200.0,21472.3824,643656.0
146,000555.SZ,神州信息,软件服务,0.5549,1.0,0.098,93491.4331,32383.1931,954547.532
316,000797.SZ,中国武夷,全国地产,0.181,1.0,-0.42,129944.6979,60265.7689,615937.868
749,002287.SZ,奇正藏药,中成药,0.1346,1.0,0.038,40600.0,4127.0,1082802.0
523,002060.SZ,粤水电,建筑施工,0.1985,1.0,0.0,120172.1856,77647.1814,346095.8945
305,000783.SZ,长江证券,证券,0.3595,1.0,1.429,552939.5495,397665.0951,3140696.6412
537,002074.SZ,国轩高科,电气设备,0.6476,1.0,1.072,100824.8686,86371.3956,1236112.889
307,000786.SZ,北新建材,其他建材,1.1808,1.0,3.871,141398.1592,77491.5722,2276510.3631
157,000568.SZ,泸州老窖,白酒,0.4758,1.0,0.78,146010.5295,71304.5764,6221508.662
309,000789.SZ,万年青,水泥,1.159,1.0,1.186,61334.9824,32215.4962,732339.6899
733,002271.SZ,东方雨虹,其他建材,1.0855,1.0,2.789,99551.6434,86314.3907,1467391.2237
735,002273.SZ,水晶光电,元器件,0.6791,1.0,0.694,81269.0018,64140.3385,825693.0583
531,002068.SZ,黑猫股份,化工原料,0.3816,1.0,0.0,60699.9471,29762.1087,406082.6461
530,002067.SZ,景兴纸业,造纸,0.8376,1.0,0.265,97487.79,93032.79,368503.8462
740,002278.SZ,神开股份,化工机械,1.1548,1.0,-0.286,34397.6,24199.9693,239751.272
153,000564.SZ,供销大集,百货,0.9212,1.0,1.056,188873.7864,109698.2287,542067.767
151,000561.SZ,烽火电子,通信设备,0.9622,1.0,0.833,59399.1864,26336.857,359365.0777
742,002280.SZ,联络互动,软件服务,0.5453,1.0,-0.235,171187.1747,118325.1868,727545.4925
743,002281.SZ,光迅科技,通信设备,1.3134,1.0,0.955,62276.9744,33702.1433,1580589.6103
528,002065.SZ,东华软件,软件服务,0.279,1.0,0.561,280772.0639,179546.724,2013135.6982
150,000560.SZ,我爱我家,房产服务,0.1573,1.0,-0.55,112957.3564,90207.3564,612228.8717
527,002064.SZ,华峰氨纶,化纤,0.1775,1.0,-0.487,153369.3088,99961.5088,627280.473
745,002283.SZ,天润曲轴,汽车配件,0.3003,1.0,0.279,102370.4308,68786.1878,368533.5509
526,002063.SZ,远光软件,软件服务,0.6706,1.0,0.0,75608.1337,60608.3095,459697.4529
336,000822.SZ,山东海化,化工原料,0.9752,1.0,1.323,89509.1926,53404.3048,479769.2723
121,000526.SZ,紫光学大,文教休闲,1.1853,1.0,0.4,9619.5107,5550.3433,193159.7749
337,000823.SZ,超声电子,元器件,1.2998,1.0,0.812,53692.0512,37417.8712,400005.7814
800,002338.SZ,奥普光电,电器仪表,2.3513,1.0,-1.843,23997.855,13762.3766,293973.7238
801,002339.SZ,积成电子,电气设备,0.5497,1.0,0.775,33008.6175,30630.1125,214556.0138
351,000850.SZ,华茂股份,纺织,0.2248,1.0,0.288,94338.2489,50552.1921,328297.1062
352,000851.SZ,高鸿股份,软件服务,1.312,1.0,1.333,83787.0031,72166.7323,382068.7341
803,002341.SZ,新纶科技,化工原料,1.332,1.0,-0.833,62521.6766,56083.9802,818408.7467
94,000425.SZ,徐工机械,工程机械,0.2494,1.0,0.599,699356.2958,401130.434,2349837.1539
93,000423.SZ,东阿阿胶,中成药,0.2662,1.0,0.828,65386.7313,45112.0548,2946979.9797
805,002343.SZ,慈文传媒,影视音像,3.0233,1.0,3.831,42079.6198,37528.6812,444781.5813
806,002344.SZ,海宁皮城,商品城,0.2816,1.0,0.848,127075.0855,61024.5007,604877.407
807,002345.SZ,潮宏基,服饰,0.5895,1.0,1.24,87869.9215,41772.3832,430562.6154
810,002348.SZ,高乐股份,文教休闲,0.9437,1.0,0.0,74309.0529,48897.0692,246706.0556
813,002351.SZ,漫步者,电脑设备,2.5739,1.0,1.833,29924.585,19947.125,182839.2144
814,002352.SZ,顺丰控股,仓储物流,0.1345,1.0,1.556,119809.4766,54330.0481,4299962.1152
90,000420.SZ,吉林化纤,化纤,0.3001,1.0,-0.5,166300.3024,158806.8176,330937.6018
89,000419.SZ,通程控股,百货,0.3806,1.0,-0.221,54328.9983,30231.7499,245023.7823
355,000858.SZ,五粮液,白酒,0.387,1.0,0.377,379577.0918,166739.9555,20193501.2838
356,000859.SZ,国风塑业,塑料,0.3468,1.0,0.324,73931.248,53896.6958,229186.8688
475,002012.SZ,凯恩股份,造纸,1.0141,1.0,0.217,46697.5245,38473.6853,215275.5879
819,002357.SZ,富临运业,公路,0.5738,1.0,0.336,31323.6008,15670.9971,187315.1328
871,002409.SZ,雅克科技,化工原料,0.7666,1.0,1.77,18314.4946,11121.3518,294863.3631
348,000838.SZ,财信发展,区域地产,0.4411,1.0,0.32,63217.167,42091.4613,198501.9044
346,000836.SZ,富通鑫茂,通信设备,0.83,1.0,0.976,120844.8031,97406.6392,500297.4848
777,002315.SZ,焦点科技,互联网,0.8245,1.0,1.165,12760.0355,9833.3174,166263.2626
797,002335.SZ,科华恒盛,电气设备,0.3174,1.0,1.439,22525.9949,12753.977,333384.7245
118,000523.SZ,广州浪奇,日用化工,0.4753,1.0,1.874,53488.5668,34637.755,232675.2656
494,002031.SZ,巨轮智能,汽车配件,0.2012,1.0,0.0,189061.5823,156747.5915,383795.0121
339,000826.SZ,启迪桑德,环境保护,0.5045,1.0,1.399,118765.1519,66550.64,1290977.2012
780,002318.SZ,久立特材,特种钢,0.4209,1.0,0.0,82077.178,49576.2358,522010.8521
340,000828.SZ,东莞控股,路桥,0.1195,1.0,0.266,103951.5642,31367.3048,783794.7941
784,002322.SZ,理工环科,环境保护,0.4427,1.0,3.344,36083.2592,20665.0203,356863.4335
107,000507.SZ,珠海港,港口,0.8464,1.0,0.699,77214.3778,56821.9831,555943.5202
787,002325.SZ,洪涛股份,装修装饰,0.3436,1.0,-0.316,92036.8371,73405.7835,289916.0369
106,000506.SZ,中润资源,区域地产,1.9468,1.0,-0.796,92867.0961,58418.9526,347322.9394
490,002027.SZ,分众传媒,影视音像,0.8343,1.0,0.341,696488.8862,696488.8862,4095354.6509
788,002326.SZ,永太科技,化工原料,3.4656,1.0,1.854,53844.9825,41970.1075,443682.6558
104,000504.SZ,南华生物,环境保护,0.1651,1.0,0.078,31067.3201,19537.1546,401079.1025
103,000503.SZ,国新健康,医疗保健,3.1359,1.0,7.622,89882.2204,66311.9611,1700571.61
102,000502.SZ,绿景控股,医疗保健,0.4941,1.0,1.412,18334.8857,14148.4391,144845.597
101,000501.SZ,鄂武商A,百货,0.2188,1.0,0.0,67744.3967,34709.9904,678798.8549
341,000829.SZ,天音控股,其他商业,0.8041,1.0,1.174,92988.3834,50302.3654,560719.9519
487,002024.SZ,苏宁易购,电器连锁,0.3424,1.0,0.76,584674.8559,318798.8171,6203400.2211
342,000830.SZ,鲁西化工,农药化肥,0.834,1.0,0.454,146397.7827,97172.9363,1620623.4545
796,002334.SZ,英威腾,电气设备,0.6718,1.0,-0.418,57834.8676,55475.0171,275293.9698
538,002075.SZ,沙钢股份,特种钢,3.9711,1.0,1.031,220677.0722,116569.8996,2162635.3076
723,002261.SZ,拓维信息,互联网,1.5458,1.0,0.661,97201.4729,60015.0261,444210.7312
544,002081.SZ,金螳螂,装修装饰,0.3317,1.0,0.454,257094.2243,128309.4649,2277854.8273
249,000698.SZ,沈阳化工,化工原料,0.2509,1.0,0.756,78568.2739,62709.6872,314273.0956
654,002191.SZ,劲嘉股份,广告包装,0.3566,1.0,0.812,130200.4013,80739.7599,969992.9897
