,ts_code,name,industry,continuously_up,average_p_change,average_turnover_rate
3536,603916.SH,苏博特,化工原料,3.0,1.732,1.436
183,000607.SZ,华媒控股,广告包装,3.0,1.725,0.579
366,000880.SZ,潍柴重机,机械基件,3.0,1.723,0.817
2130,600007.SH,中国国贸,园区开发,3.0,1.72,0.081
3265,603288.SH,海天味业,食品,3.0,1.718,0.085
3529,603900.SH,莱绅通灵,服饰,3.0,1.702,5.214
3556,603968.SH,醋化股份,化工原料,3.0,1.698,0.5
1762,300380.SZ,安硕信息,软件服务,3.0,1.692,1.781
2824,600827.SH,百联股份,超市连锁,4.0,1.692,0.202
2206,600100.SH,同方股份,电脑设备,3.0,1.685,0.179
1259,002808.SZ,恒久科技,元器件,4.0,1.675,2.259
181,000605.SZ,渤海股份,水务,3.0,1.666,4.984
3301,603355.SH,莱克电气,家用电器,3.0,1.653,0.216
770,002309.SZ,中利集团,电气设备,3.0,1.639,2.564
2985,601166.SH,兴业银行,银行,3.0,1.625,0.159
686,002224.SZ,三力士,橡胶,3.0,1.621,1.448
2903,600959.SH,江苏有线,影视音像,3.0,1.617,0.376
1732,300348.SZ,长亮科技,软件服务,3.0,1.609,2.535
596,002134.SZ,天津普林,元器件,3.0,1.604,0.906
1256,002805.SZ,丰元股份,化工原料,4.0,1.603,2.721
2230,600126.SH,杭钢股份,普钢,3.0,1.6,0.315
3073,601801.SH,皖新传媒,出版业,3.0,1.6,0.245
606,002144.SZ,宏达高科,纺织,3.0,1.589,0.444
567,002105.SZ,信隆健康,文教休闲,3.0,1.587,0.507
2851,600859.SH,王府井,百货,3.0,1.551,1.121
2074,300699.SZ,光威复材,化工原料,3.0,1.55,0.701
2265,600168.SH,武汉控股,水务,3.0,1.548,0.173
3046,601608.SH,中信重工,专用机械,4.0,1.522,0.27
3268,603298.SH,杭叉集团,专用机械,4.0,1.517,0.896
2885,600894.SH,广日股份,运输设备,3.0,1.515,0.467
196,000623.SZ,吉林敖东,中成药,3.0,1.503,0.466
2520,600488.SH,天药股份,化学制药,3.0,1.499,0.133
2168,600059.SH,古越龙山,红黄药酒,3.0,1.496,0.322
1797,300415.SZ,伊之密,专用机械,3.0,1.484,0.997
296,000767.SZ,漳泽电力,火力发电,3.0,1.472,0.156
1760,300378.SZ,鼎捷软件,软件服务,4.0,1.469,2.36
3133,603012.SH,创力集团,专用机械,4.0,1.46,0.429
598,002136.SZ,安纳达,化工原料,3.0,1.454,1.328
2152,600033.SH,福建高速,路桥,3.0,1.441,0.238
553,002091.SZ,江苏国泰,商贸代理,4.0,1.405,1.103
780,002319.SZ,乐通股份,染料涂料,4.0,1.381,0.504
2386,600308.SH,华泰股份,造纸,3.0,1.379,0.868
2701,600694.SH,大商股份,百货,3.0,1.375,0.491
2350,600266.SH,北京城建,区域地产,3.0,1.353,0.283
2655,600642.SH,申能股份,火力发电,3.0,1.353,0.124
529,002067.SZ,景兴纸业,造纸,3.0,1.346,1.639
339,000828.SZ,东莞控股,路桥,4.0,1.345,0.392
3093,601898.SH,中煤能源,煤炭开采,3.0,1.345,0.096
2596,600577.SH,精达股份,电气设备,3.0,1.336,0.518
862,002401.SZ,中远海科,软件服务,4.0,1.321,1.066
781,002320.SZ,海峡股份,水运,3.0,1.305,0.918
727,002266.SZ,浙富控股,电气设备,3.0,1.295,0.527
3192,603106.SH,恒银金融,电脑设备,3.0,1.291,3.5
1713,300329.SZ,海伦钢琴,文教休闲,3.0,1.266,0.676
2353,600269.SH,赣粤高速,路桥,3.0,1.266,0.254
1030,002570.SZ,*ST因美,乳制品,3.0,1.262,0.351
3513,603879.SH,永悦科技,化工原料,4.0,1.243,1.917
2728,600723.SH,首商股份,百货,3.0,1.224,0.215
133,000541.SZ,佛山照明,家用电器,3.0,1.212,0.314
2688,600681.SH,百川能源,供气供热,3.0,1.21,0.917
3042,601600.SH,中国铝业,铝,3.0,1.209,0.372
2211,600106.SH,重庆路桥,路桥,3.0,1.203,0.551
1807,300425.SZ,环能科技,环境保护,3.0,1.2,0.708
2942,601006.SH,大秦铁路,铁路,7.0,1.191,0.171
371,000886.SZ,海南高速,路桥,3.0,1.172,0.993
369,000883.SZ,湖北能源,火力发电,3.0,1.172,0.091
67,000158.SZ,常山北明,纺织,3.0,1.169,0.43
2280,600185.SH,格力地产,区域地产,3.0,1.166,0.528
504,002042.SZ,华孚时尚,纺织,3.0,1.164,0.35
3172,603069.SH,海汽集团,公路,3.0,1.158,1.704
2932,600995.SH,文山电力,水力发电,3.0,1.15,0.409
855,002394.SZ,联发股份,纺织,3.0,1.147,0.557
2273,600177.SH,雅戈尔,服饰,3.0,1.147,0.138
2017,300641.SZ,正丹股份,化工原料,3.0,1.138,0.618
1579,300195.SZ,长荣股份,轻工机械,3.0,1.129,1.256
3316,603383.SH,顶点软件,软件服务,4.0,1.105,2.995
1714,300330.SZ,华虹计通,软件服务,3.0,1.104,0.735
2809,600811.SH,东方集团,综合类,3.0,1.09,0.308
3014,601328.SH,交通银行,银行,3.0,1.082,0.129
2312,600221.SH,海航控股,空运,3.0,1.059,0.293
1629,300245.SZ,天玑科技,软件服务,3.0,1.053,1.048
3241,603214.SH,爱婴室,百货,3.0,1.034,7.383
3471,603789.SH,星光农机,农用机械,3.0,1.019,0.645
854,002393.SZ,力生制药,化学制药,4.0,1.011,0.321
3287,603326.SH,我乐家居,家居用品,4.0,0.968,6.762
2982,601158.SH,重庆水务,水务,4.0,0.953,0.063
2897,600926.SH,杭州银行,银行,3.0,0.944,0.436
1783,300401.SZ,花园生物,食品,3.0,0.941,0.961
1810,300428.SZ,四通新材,铝,3.0,0.93,3.452
1270,002820.SZ,桂发祥,食品,4.0,0.912,0.881
2883,600892.SH,大晟文化,影视音像,3.0,0.89,0.253
1620,300236.SZ,上海新阳,半导体,3.0,0.882,3.743
135,000544.SZ,中原环保,环境保护,3.0,0.882,0.634
2787,600785.SH,新华百货,百货,3.0,0.872,0.103
736,002275.SZ,桂林三金,中成药,3.0,0.854,0.109
1716,300332.SZ,天壕环境,环境保护,3.0,0.842,0.436
405,000928.SZ,中钢国际,建筑施工,3.0,0.837,0.83
2012,300636.SZ,同和药业,化学制药,4.0,0.825,0.912
670,002208.SZ,合肥城建,区域地产,3.0,0.809,2.364
2415,600340.SH,华夏幸福,区域地产,3.0,0.798,0.293
2667,600655.SH,豫园股份,百货,3.0,0.772,0.528
772,002311.SZ,海大集团,饲料,3.0,0.69,0.184
3281,603318.SH,派思股份,专用机械,3.0,0.641,0.296
3027,601398.SH,工商银行,银行,3.0,0.638,0.047
79,000408.SZ,藏格控股,农药化肥,3.0,0.593,0.539
2137,600016.SH,民生银行,银行,3.0,0.58,0.163
432,000967.SZ,盈峰环境,环境保护,3.0,0.54,0.226
1038,002578.SZ,闽发铝业,铝,4.0,0.523,0.548
2866,600874.SH,创业环保,环境保护,3.0,0.461,1.578
594,002132.SZ,恒星科技,钢加工,3.0,0.43,2.551
2690,600683.SH,京投发展,区域地产,4.0,0.385,0.464
1269,002819.SZ,东方中科,电器仪表,3.0,0.323,0.935
3453,603729.SH,龙韵股份,广告包装,3.0,0.303,1.595
401,000923.SZ,河北宣工,铜,3.0,0.256,2.043
1200,002743.SZ,富煌钢构,钢加工,3.0,0.256,1.34
353,000856.SZ,冀东装备,机械基件,3.0,0.229,8.877
1910,300529.SZ,健帆生物,医疗保健,3.0,0.228,0.907
3445,603717.SH,天域生态,环境保护,3.0,0.184,2.923
2112,300741.SZ,华宝股份,食品,4.0,0.143,1.654
2515,600482.SH,中国动力,电气设备,3.0,0.14,0.33
997,002537.SZ,海联金汇,汽车整车,3.0,0.133,0.139
1435,300049.SZ,福瑞股份,中成药,3.0,-0.476,0.78
1502,300117.SZ,嘉寓股份,装修装饰,3.0,-0.619,1.636
2050,300675.SZ,建科院,建筑施工,3.0,-0.963,4.267
