,ts_code,symbol,name,industry,COL_CHG,COL_PROBABILITY,COL_SEPARATION_DEGREE,COL_CIRC_MV
353,000822.SZ,000822,山东海化,化工原料,4.79,1.27,-1.17,68.56
354,000762.SZ,000762,西藏矿业,小金属,33.22,3.09,-1.18,163.32
355,603650.SH,603650,彤程新材,化工原料,12.1,1.04,-1.2,303.48
356,300661.SZ,300661,圣邦股份,元器件,22.49,2.86,-1.2,548.95
357,300677.SZ,300677,英科医疗,医疗保健,7.85,1.14,-1.21,285.28
358,000831.SZ,000831,五矿稀土,小金属,33.5,2.28,-1.22,240.81
359,300726.SZ,300726,宏达电子,元器件,20.34,1.19,-1.22,139.73
360,300309.SZ,300309,吉艾科技,多元金融,5.84,1.42,-1.22,27.3
361,300171.SZ,300171,东富龙,医疗保健,24.93,1.68,-1.23,203.24
362,300260.SZ,300260,新莱应材,机械基件,14.18,1.46,-1.24,33.63
363,605358.SH,605358,立昂微,半导体,21.1,1.92,-1.24,46.47
364,600252.SH,600252,中恒集团,中成药,18.53,1.95,-1.25,117.81
365,601969.SH,601969,海南矿业,普钢,31.02,2.66,-1.26,261.74
366,002455.SZ,002455,百川股份,化工原料,13.34,1.04,-1.27,34.15
367,002869.SZ,002869,金溢科技,通信设备,3.06,1.24,-1.28,32.15
368,601339.SH,601339,百隆东方,纺织,15.02,1.9,-1.28,90.75
369,000532.SZ,000532,华金资本,多元金融,16.43,1.65,-1.28,53.32
370,300319.SZ,300319,麦捷科技,元器件,17.18,1.05,-1.28,84.87
371,300274.SZ,300274,阳光电源,电气设备,12.62,1.11,-1.29,1296.48
372,002459.SZ,002459,晶澳科技,电气设备,10.4,1.13,-1.29,312.65
373,603290.SH,603290,斯达半导,半导体,20.49,1.71,-1.3,276.84
374,600381.SH,600381,青海春天,医疗保健,17.32,1.65,-1.31,51.31
375,300473.SZ,300473,德尔股份,汽车配件,16.37,1.75,-1.32,26.31
376,600329.SH,600329,中新药业,中成药,7.9,1.07,-1.32,141.35
377,605300.SH,605300,佳禾食品,食品,17.31,1.86,-1.32,12.18
378,002759.SZ,002759,天际股份,家用电器,23.02,2.0,-1.34,160.54
379,000408.SZ,000408,藏格控股,农药化肥,15.74,1.55,-1.36,112.78
380,300393.SZ,300393,中来股份,塑料,59.0,4.68,-1.36,104.65
381,300073.SZ,300073,当升科技,电气设备,25.49,1.97,-1.37,301.08
382,002623.SZ,002623,亚玛顿,玻璃,13.81,1.1,-1.37,67.2
383,002760.SZ,002760,凤形股份,机械基件,19.58,1.51,-1.37,20.73
384,300391.SZ,300391,康跃科技,机械基件,11.97,1.29,-1.39,71.12
385,603986.SH,603986,兆易创新,半导体,11.81,1.11,-1.39,1176.27
386,300685.SZ,300685,艾德生物,生物制药,6.58,1.02,-1.39,229.5
387,605399.SH,605399,晨光新材,化工原料,13.54,1.44,-1.39,10.15
388,300850.SZ,300850,新强联,机械基件,30.2,2.62,-1.41,49.56
389,600732.SH,600732,爱旭股份,电气设备,17.95,1.22,-1.42,93.94
390,300276.SZ,300276,三丰智能,专用机械,16.21,1.61,-1.42,39.89
391,300455.SZ,300455,康拓红外,运输设备,19.28,1.57,-1.43,62.26
392,002009.SZ,002009,天奇股份,工程机械,16.13,2.03,-1.44,47.62
393,300620.SZ,300620,光库科技,元器件,22.57,1.88,-1.44,54.77
394,300224.SZ,300224,正海磁材,元器件,21.4,1.75,-1.46,101.32
395,002892.SZ,002892,科力尔,电气设备,17.08,2.13,-1.46,24.58
396,300034.SZ,300034,钢研高纳,小金属,22.21,1.6,-1.46,149.54
397,000034.SZ,000034,神州数码,综合类,13.21,1.76,-1.48,110.72
398,300342.SZ,300342,天银机电,元器件,19.36,1.17,-1.48,56.06
399,301002.SZ,301002,崧盛股份,电气设备,28.93,2.05,-1.49,21.62
400,300127.SZ,300127,银河磁体,元器件,15.47,1.26,-1.49,43.64
401,300567.SZ,300567,精测电子,电器仪表,21.87,1.6,-1.5,111.93
402,300613.SZ,300613,富瀚微,半导体,28.28,2.65,-1.51,206.36
403,300634.SZ,300634,彩讯股份,软件服务,34.66,3.38,-1.51,78.51
404,002326.SZ,002326,永太科技,化工原料,22.54,2.64,-1.52,148.29
405,300036.SZ,300036,超图软件,软件服务,32.94,1.84,-1.53,105.49
406,300093.SZ,300093,金刚玻璃,玻璃,3.91,1.16,-1.55,40.98
407,002433.SZ,002433,太安堂,中成药,11.62,1.52,-1.55,32.9
408,603690.SH,603690,至纯科技,专用机械,19.76,1.31,-1.57,114.25
409,002119.SZ,002119,康强电子,半导体,20.27,2.96,-1.57,59.32
410,605378.SH,605378,野马电池,电气设备,18.17,1.98,-1.58,15.72
411,600750.SH,600750,江中药业,中成药,11.9,1.16,-1.59,81.77
412,300354.SZ,300354,东华测试,电器仪表,16.73,2.62,-1.59,15.79
413,300619.SZ,300619,金银河,专用机械,17.42,1.31,-1.66,14.73
414,300802.SZ,300802,矩子科技,IT设备,24.88,2.1,-1.67,33.48
415,600354.SH,600354,敦煌种业,种植业,19.15,1.3,-1.67,37.1
416,300487.SZ,300487,蓝晓科技,化工原料,21.0,1.41,-1.69,113.41
417,300327.SZ,300327,中颖电子,半导体,9.55,1.19,-1.69,212.78
418,300609.SZ,300609,汇纳科技,互联网,13.73,1.15,-1.74,15.64
419,300678.SZ,300678,中科信息,软件服务,12.44,1.09,-1.75,35.62
420,300283.SZ,300283,温州宏丰,电气设备,21.48,1.91,-1.75,20.54
421,300444.SZ,300444,双杰电气,电气设备,13.19,1.05,-1.76,23.97
422,300108.SZ,300108,吉药控股,中成药,21.89,2.36,-1.77,18.18
423,600460.SH,600460,士兰微,半导体,15.25,1.24,-1.79,827.91
424,300505.SZ,300505,川金诺,化工原料,21.58,1.15,-1.8,20.88
425,300405.SZ,300405,科隆股份,化工原料,11.32,1.01,-1.8,14.26
426,300588.SZ,300588,熙菱信息,软件服务,66.7,5.7,-1.81,18.55
427,001205.SZ,001205,盛航股份,水运,3.03,1.02,-1.86,9.5
428,300484.SZ,300484,蓝海华腾,电气设备,14.82,1.36,-1.87,24.9
429,300270.SZ,300270,中威电子,通信设备,13.58,1.61,-1.96,13.75
430,301009.SZ,301009,可靠股份,造纸,0.88,1.23,-1.97,17.94
431,605499.SH,605499,东鹏饮料,软饮料,12.28,1.32,-2.03,105.57
432,300827.SZ,300827,上能电气,电气设备,21.82,4.13,-2.06,27.9
433,300079.SZ,300079,数码视讯,通信设备,25.49,2.22,-2.18,114.12
434,300479.SZ,300479,神思电子,软件服务,98.8,7.45,-2.24,40.85
435,002620.SZ,002620,瑞和股份,装修装饰,7.41,1.88,-2.29,22.46
436,300746.SZ,300746,汉嘉设计,建筑工程,-0.25,1.1,-2.3,24.81
437,300500.SZ,300500,启迪设计,建筑工程,8.44,2.86,-2.31,29.15
438,300490.SZ,300490,华自科技,电气设备,27.2,1.84,-2.34,47.73
439,300350.SZ,300350,华鹏飞,仓储物流,14.25,3.69,-2.41,40.26
440,603629.SH,603629,利通电子,元器件,20.14,1.72,-2.54,7.14
441,300997.SZ,300997,欢乐家,软饮料,10.18,1.14,-2.57,17.47
442,300534.SZ,300534,陇神戎发,中成药,12.14,1.39,-2.7,19.7
443,300268.SZ,300268,佳沃股份,农业综合,14.92,1.42,-2.84,25.36
444,300526.SZ,300526,中潜股份,专用机械,33.51,2.43,-3.36,82.59
