,ts_code,symbol,name,industry,COL_EIGEN_SLOPE,COL_LASTPRICE,concept
2639,600602.SH,600602,云赛智联,软件服务,3.41,10.54,"上海国企改革, 云计算, 智慧城市, 国产软件, "
3366,603505.SH,603505,金石资源,矿物制品,3.4,20.03,"业绩预增, "
653,002191.SZ,002191,劲嘉股份,广告包装,3.39,14.88,"回购, 基因测序, 药品信息化追溯, 包装印刷, "
880,002419.SZ,002419,天虹股份,百货,3.39,14.53,"高股息, 央企改革, 军工研究所, 新零售, 宝能系, 军工, 无人商店, 彩票, "
1597,300206.SZ,300206,理邦仪器,医疗保健,3.39,9.36,"二胎, 回购, 业绩预增, 医疗器械, 体外诊断, "
161,000576.SZ,000576,广东甘化,造纸,3.39,11.28,"军工研究所, 军工, 军民融合, 食品, 白糖, 资产重组, "
1241,002788.SZ,002788,鹭燕医药,医药商业,3.38,17.42,"医药商业, 医药, 中药, 医疗器械, "
3217,603110.SH,603110,东方材料,染料涂料,3.37,16.44,"回购, 石墨烯, "
336,000823.SZ,000823,超声电子,元器件,3.36,11.8,"PCB板, 小米概念股, 苹果产业链, "
2221,600096.SH,600096,云天化,农药化肥,3.36,7.86,"甲醇, 煤化工, 化肥, 磷化工, 工业大麻, "
1928,300540.SZ,300540,深冷股份,专用机械,3.36,26.46,"天然气, "
2382,600281.SH,600281,太化股份,化工原料,3.35,5.78,"山西国企改革, "
2570,600523.SH,600523,贵航股份,汽车配件,3.34,16.17,"央企改革, 军工研究所, 大飞机, 军工, 汽车零部件, "
1549,300157.SZ,300157,恒泰艾普,石油开采,3.33,6.29,"油服, 油气改革, 可燃冰, 回购, 页岩气, 天然气, 雄安-公共服务, 雄安新区, 大数据, 地热, 创投, "
3400,603589.SH,603589,口子窖,白酒,3.33,59.36,"MSCI, 白酒, "
1528,300136.SZ,300136,信维通信,通信设备,3.32,30.01,"5G, 白马股, MSCI, 华为产业链, 社保重仓, 物联网, 工业自动化, 智能制造, 无线充电, 移动支付, 半导体, VR&AR, 苹果产业链, "
1090,002630.SZ,002630,华西能源,专用机械,3.31,4.51,"石墨烯, 资产重组, "
1701,300310.SZ,300310,宜通世纪,通信设备,3.31,7.36,"混改, 华为产业链, 物联网, 定增破发, 互联网医疗, 工业互联网, "
1819,300430.SZ,300430,诚益通,电器仪表,3.31,12.16,"社保重仓, 定增破发, 工业自动化, 智能制造, 医疗器械, "
3222,603118.SH,603118,共进股份,通信设备,3.31,11.46,"5G, 光通信, 业绩预增, 物联网, 基因测序, 医疗器械, "
1873,300484.SZ,300484,蓝海华腾,电气设备,3.31,13.05,"工业自动化, 智能制造, "
172,000593.SZ,000593,大通燃气,供气供热,3.3,7.6,"油气改革, 天然气, 信托, 股权转让, "
3449,603679.SH,603679,华体科技,电气设备,3.3,50.09,"华为产业链, 新能源汽车, 智慧城市, 共享经济, LED, 充电桩, "
186,000610.SZ,000610,西安旅游,旅游服务,3.3,18.07,"旅游, 特色小镇, 强势人气股, 创投, "
1269,002819.SZ,002819,东方中科,电器仪表,3.3,26.45,"中科院系, 举牌股, "
528,002066.SZ,002066,瑞泰科技,其他建材,3.29,9.83,"央企改革, 耐火材料, "
1104,002644.SZ,002644,佛慈制药,中成药,3.29,9.4,"医药, 中药, "
3281,603266.SH,603266,天龙股份,塑料,3.29,23.5,
3182,603042.SH,603042,华脉科技,通信设备,3.28,18.12,"5G, 光通信, "
544,002082.SZ,002082,万邦德,铝,3.28,11.13,"装配式建筑, 医药, 中药, 医疗器械, 资产重组, "
250,000701.SZ,000701,厦门信达,综合类,3.28,7.65,"汽车销售, 物联网, 小米概念股, 石墨烯, 无人商店, 智慧安防, LED, 科创板概念股, 电子车牌, "
3559,603903.SH,603903,中持股份,环境保护,3.27,24.63,"雄安-园林环保, 环保, 雄安新区, 污水处理, "
2756,600733.SH,600733,北汽蓝谷,汽车整车,3.26,11.17,"新能源整车, 北汽新能源, 业绩预增, 无人驾驶, 新能源汽车, ST摘帽, "
1278,002828.SZ,002828,贝肯能源,石油开采,3.26,15.16,"油服, 油气改革, 可燃冰, 页岩气, 天然气, 新疆, "
2748,600725.SH,600725,ST云维,焦炭加工,3.26,3.56,"甲醇, ST股, "
2764,600741.SH,600741,华域汽车,汽车配件,3.25,24.52,"安邦系, 高股息, 白马股, MSCI, 蔚来汽车概念股, 参股券商, 汽车零部件, 无人驾驶, 上海国企改革, 工业互联网, 科创板概念股, "
1027,002567.SZ,002567,唐人神,饲料,3.24,17.44,"回购, 饲料, 养猪, 股权转让, 国资入股, "
1425,300032.SZ,300032,金龙机电,元器件,3.24,4.07,"小米概念股, 智能制造, 共享经济, 机器人, "
61,000150.SZ,000150,宜华健康,医疗保健,3.23,12.26,"民营医院, 养老产业, 互联网医疗, "
1742,300351.SZ,300351,永贵电器,元器件,3.23,12.91,"一带一路, 特斯拉, 军工, 军民融合, 高铁轨交, "
3252,603186.SH,603186,华正新材,元器件,3.23,33.3,"5G, 锂电池, 新能源汽车, "
1180,002723.SZ,002723,金莱特,家用电器,3.23,12.86,"小家电, 家电, 资产重组, "
551,002089.SZ,002089,新海宜,通信设备,3.22,6.14,"5G, 光通信, 锂电池, 量子通信, 新能源汽车, LED, 创投, "
387,000906.SZ,000906,浙商中拓,批发业,3.22,7.56,"业绩预增, 浙江国企改革, "
3522,603829.SH,603829,洛凯股份,电气设备,3.22,13.79,
2282,600166.SH,600166,福田汽车,汽车整车,3.21,3.18,"新能源整车, 汽车整车, 回购, 破净股, 重卡, 百度概念股, 无人驾驶, 燃料电池, 新能源汽车, 低价股, "
1599,300208.SZ,300208,青岛中程,电气设备,3.2,9.05,"有色金属, 有色-镍, 举牌股, "
1012,002552.SZ,002552,宝鼎科技,机械基件,3.2,8.67,"海工装备, 军工, 军民融合, 定增破发, ST摘帽, "
2103,300723.SZ,300723,一品红,化学制药,3.19,47.5,"高送转-预期, 医药, 化学药, "
624,002162.SZ,002162,悦心健康,医疗保健,3.19,4.48,"民营医院, 养老产业, "
763,002302.SZ,002302,西部建设,水泥,3.19,15.74,"一带一路, 央企改革, 业绩预增, 新疆, 3D打印, 智能制造, 新疆国企改革, "
1658,300267.SZ,300267,尔康制药,化学制药,3.19,7.98,"高质押率, 医药, 化学药, 工业大麻, "
2918,600933.SH,600933,爱柯迪,汽车配件,3.19,9.83,"汽车零部件, 工业自动化, 智能制造, "
2021,300638.SZ,300638,广和通,通信设备,3.18,59.95,"5G, 阿里巴巴概念股, 业绩预增, 物联网, 移动支付, "
3114,601890.SH,601890,亚星锚链,船舶,3.18,7.76,"海工装备, 航母, 强势人气股, "
3092,601799.SH,601799,星宇股份,汽车配件,3.18,73.97,"汽车零部件, 无人驾驶, "
3385,603558.SH,603558,健盛集团,纺织,3.17,11.07,"东盟博览会, 回购, 业绩预增, 纺织服装, 人民币贬值受益, "
1441,300048.SZ,300048,合康新能,电气设备,3.17,4.04,"新能源整车, 新能源汽车, 共享经济, 充电桩, "
869,002408.SZ,002408,齐翔腾达,化工原料,3.17,10.11,"环氧丙烷, 回购, 石油化工, 油品升级, 资产重组, "
1641,300250.SZ,300250,初灵信息,软件服务,3.16,19.34,"5G, 回购, 大数据, "
141,000551.SZ,000551,创元科技,专用机械,3.16,8.86,"大气治理, 北斗导航, 环保, "
2324,600213.SH,600213,亚星客车,汽车整车,3.16,10.77,"新能源整车, 汽车整车, 山东国企改革, 新能源汽车, "
2228,600104.SH,600104,上汽集团,汽车整车,3.15,28.42,"安邦系, 高股息, 白马股, MSCI, 阿里巴巴概念股, 新能源整车, 大消费, 汽车整车, 华为产业链, 宁德时代概念股, 无人驾驶, 万达系, 燃料电池, 上海国企改革, 新能源汽车, 人工智能, 足球, 共享经济, "
3420,603618.SH,603618,杭电股份,电气设备,3.15,8.03,"5G, 特高压, 光通信, 石墨烯, "
222,000666.SZ,000666,经纬纺机,纺织机械,3.14,15.26,"央企改革, 信托, 恒大概念股, 资产重组, "
2822,600805.SH,600805,悦达投资,综合类,3.14,7.46,"汽车整车, 社保重仓, 破净股, 农机, 石墨烯, "
2186,600058.SH,600058,五矿发展,商贸代理,3.13,8.8,"央企改革, "
1199,002742.SZ,002742,三圣股份,其他建材,3.13,9.92,"高质押率, 医药, 化学药, "
2676,600644.SH,600644,乐山电力,水力发电,3.13,7.6,"水电, 业绩预增, 举牌股, "
2845,600830.SH,600830,香溢融通,多元金融,3.13,7.27,"金改, "
2976,601058.SH,601058,赛轮轮胎,汽车配件,3.12,3.5,"东盟博览会, 业绩预增, 无人驾驶, 轮胎, 举牌股, "
2302,600188.SH,600188,兖州煤业,煤炭开采,3.12,11.83,"MSCI, 煤炭, 甲醇, 山东国企改革, "
2389,600289.SH,600289,*ST信通,软件服务,3.12,3.25,"5G, 网络安全, 大数据, 智慧城市, ST股, "
2293,600178.SH,600178,东安动力,汽车配件,3.12,6.37,"北汽新能源, 混改, 军工混改, 央企改革, 军工研究所, 军工, 汽车零部件, "
970,002509.SZ,002509,天广中茂,专用机械,3.11,3.17,"园林, 特色小镇, PPP, 区块链, "
2117,300739.SZ,300739,明阳电路,元器件,3.11,26.72,"PCB板, 人民币贬值受益, "
1461,300069.SZ,300069,金利华电,电气设备,3.09,14.36,"特高压, 燃料电池, 影视, "
711,002249.SZ,002249,大洋电机,电气设备,3.08,7.15,"北汽新能源, 燃料电池, 新能源汽车, 共享经济, "
2863,600853.SH,600853,龙建股份,建筑施工,3.08,5.16,"振兴东北, 大基建, PPP, "
1565,300173.SZ,300173,智慧松德,轻工机械,3.07,6.34,"工业自动化, 智能制造, 3D玻璃, 股权转让, 国资入股, 资产重组, 机器人, "
3151,603008.SH,603008,喜临门,家居用品,3.07,12.21,"社保重仓, 股权转让, 家具家居, 影视, "
737,002276.SZ,002276,万马股份,电气设备,3.07,7.25,"定增破发, 新能源汽车, 充电桩, "
3417,603615.SH,603615,茶花股份,家居用品,3.07,10.89,"二胎, "
2837,600822.SH,600822,上海物贸,商贸代理,3.06,13.29,"上海国企改革, 自贸区, 自由贸易港, 上海自由贸易港, "
769,002308.SZ,002308,威创股份,电脑设备,3.06,6.22,"二胎, 教育, 百度概念股, 定增破发, 智慧城市, 智慧安防, "
126,000533.SZ,000533,顺钠股份,电气设备,3.06,3.82,
1052,002592.SZ,002592,八菱科技,汽车配件,3.05,28.58,"回购, 汽车零部件, 燃料电池, 广西, 股权转让, "
471,002009.SZ,002009,天奇股份,工程机械,3.05,11.12,"业绩预增, 风电, 智慧物流, 工业自动化, 智能制造, 机器人, "
3428,603637.SH,603637,镇海股份,建筑施工,3.05,19.3,"大气治理, 环保, 举牌股, 股权争夺, "
1060,002600.SZ,002600,领益智造,元器件,3.04,6.31,"OLED, 华为产业链, 稀土磁材, 小米概念股, 苹果产业链, 强势人气股, "
3141,601997.SH,601997,贵阳银行,银行,3.03,14.2,"银行, MSCI, "
1202,002746.SZ,002746,仙坛股份,农业综合,3.03,24.86,"业绩预增, 养鸡, 高送转, "
749,002288.SZ,002288,超华科技,元器件,3.02,6.21,"PCB板, 半导体, 智慧城市, 智慧安防, 独角兽, "
760,002299.SZ,002299,圣农发展,农业综合,3.01,27.1,"MSCI, 业绩预增, 养鸡, "
2854,600841.SH,600841,上柴股份,机械基件,3.0,9.43,"汽车零部件, 燃料电池, 上海国企改革, "
2112,300733.SZ,300733,西菱动力,汽车配件,3.0,15.61,"高送转-预期, 汽车零部件, "
107,000509.SZ,000509,华塑控股,其他建材,3.0,3.94,"民营医院, 资产重组, 壳公司, "
1939,300552.SZ,300552,万集科技,软件服务,3.0,29.2,"无人驾驶, 国产软件, 国资入股, 电子车牌, "
1505,300113.SZ,300113,顺网科技,互联网,3.0,21.03,"回购, 网络安全, 云计算, 电竞, VR&AR, 腾讯概念股, 国产操作系统, 游戏, 手游, 体育产业, "
2682,600651.SH,600651,飞乐音响,电器仪表,2.99,5.23,"上海国企改革, 智慧城市, LED, 强势人气股, "
845,002384.SZ,002384,东山精密,通信设备,2.97,19.91,"5G, OLED, PCB板, 特斯拉, 华为产业链, 业绩预增, 股权转让, 苹果产业链, 资产重组, LED, "
707,002245.SZ,002245,澳洋顺昌,仓储物流,2.96,5.69,"锂电池, 新能源汽车, 快递物流, 股权转让, LED, "
1972,300587.SZ,300587,天铁股份,橡胶,2.96,25.96,"高送转-预期, 高铁轨交, "
1054,002594.SZ,002594,比亚迪,汽车整车,2.95,57.71,"MSCI, 新能源整车, 大消费, 汽车整车, 华为产业链, 业绩预增, 百度概念股, 光伏, 储能, 无人驾驶, 锂电池, 新能源汽车, 3D玻璃, 共享经济, 充电桩, "
1418,300025.SZ,300025,华星创业,通信设备,2.95,6.71,"5G, 华为产业链, 物联网, 云计算, 股权转让, "
1327,002881.SZ,002881,美格智能,通信设备,2.95,22.34,"物联网, 小米概念股, "
2378,600277.SH,600277,亿利洁能,综合类,2.94,8.53,"烧碱, PVC, 内蒙古, 光伏, "
985,002524.SZ,002524,光正集团,医疗保健,2.94,6.53,"一带一路, 民营医院, 装配式建筑, 新疆, 眼科, 壳公司, 创投, "
447,000985.SZ,000985,大庆华科,化工原料,2.93,16.7,"油气改革, 央企改革, 社保重仓, 石油化工, "
2432,600338.SH,600338,西藏珠峰,铅锌,2.93,27.7,"有色-锌, 有色金属, 西藏, "
1428,300035.SZ,300035,中科电气,电气设备,2.93,6.49,"超级高铁, 锂电池, 新能源汽车, 石墨烯, "
1625,300234.SZ,300234,开尔新材,陶瓷,2.93,11.94,"回购, 高质押率, 装修装饰, "
3119,601908.SH,601908,京运通,电气设备,2.93,4.59,"风电, 光伏, "
3299,603309.SH,603309,维力医疗,医疗保健,2.92,20.08,"医疗器械, "
878,002417.SZ,002417,深南股份,多元金融,2.92,8.64,"供应链金融, 互联网金融, 大数据, 云计算, "
3202,603083.SH,603083,剑桥科技,通信设备,2.92,39.2,"5G, 光通信, 工业互联网, "
163,000582.SZ,000582,北部湾港,港口,2.91,10.68,"东盟博览会, 港口, 回购, 广西, "
2553,600505.SH,600505,西昌电力,水力发电,2.91,9.05,"水电, 央企改革, 业绩预增, "
3416,603612.SH,603612,索通发展,矿物制品,2.91,16.17,
1736,300345.SZ,300345,红宇新材,钢加工,2.9,6.4,"军工, 军民融合, 工业自动化, 3D打印, 智能制造, "
2716,600691.SH,600691,阳煤化工,农药化肥,2.9,3.28,"甲醇, 煤化工, 化肥, 山西国企改革, "
965,002504.SZ,002504,弘高创意,装修装饰,2.89,4.64,"特色小镇, 独角兽, 装修装饰, ST摘帽, "
3227,603128.SH,603128,华贸物流,仓储物流,2.89,10.25,"央企改革, 回购, 快递物流, 自贸区, 自由贸易港, 上海自由贸易港, "
3485,603738.SH,603738,泰晶科技,元器件,2.89,18.06,"被动元件, "
3339,603378.SH,603378,亚士创能,染料涂料,2.88,17.47,"回购, "
937,002476.SZ,002476,宝莫股份,化工原料,2.88,6.37,"油服, 页岩气, 天然气, 石油化工, "
1391,002951.SZ,002951,金时科技,广告包装,2.88,35.59,"次新股, 包装印刷, "
2464,600378.SH,600378,天科股份,化工原料,2.88,14.01,"油服, 可燃冰, 央企改革, 业绩预增, 页岩气, 石油化工, 燃料电池, 资产重组, 碳交易, "
171,000592.SZ,000592,平潭发展,林业,2.87,4.42,"赛马, 民营医院, 福建自贸区, 光伏, 土地流转, 林业, 自贸区, 体育产业, "
1134,002674.SZ,002674,兴业科技,纺织,2.87,18.19,"业绩预增, 纺织服装, 恒大概念股, 壳公司, "
1709,300318.SZ,300318,博晖创新,医疗保健,2.87,5.1,"血制品, 二胎, 业绩预增, 医药, 疫苗, 医疗器械, 药品信息化追溯, 体外诊断, "
459,001872.SZ,001872,招商港口,港口,2.87,19.39,"一带一路, 央企改革, 港口, 粤港澳大湾区, 资产重组, "
1674,300283.SZ,300283,温州宏丰,电气设备,2.86,5.87,"股权转让, "
3450,603680.SH,603680,今创集团,运输设备,2.86,18.07,"高铁轨交, "
2817,600800.SH,600800,天津磁卡,综合类,2.86,9.1,"石油化工, 天津国企改革, 资产重组, 工业大麻, "
1099,002639.SZ,002639,雪人股份,专用机械,2.86,15.9,"福建自贸区, 燃料电池, 冷链, 自贸区, 体育产业, "
3532,603860.SH,603860,中公高科,公路,2.85,31.22,
1196,002739.SZ,002739,万达电影,影视音像,2.85,26.19,"阿里巴巴概念股, 大消费, 资产重组, 影视, "
1111,002651.SZ,002651,利君股份,专用机械,2.85,5.97,"大飞机, 通用航空, 无人机, "
1878,300489.SZ,300489,中飞股份,铝,2.85,19.91,"有色-铝, 核电, 有色金属, 军工, 军民融合, "
2189,600061.SH,600061,国投资本,证券,2.84,14.35,"MSCI, 券商, 央企改革, 雄安-金融, 雄安新区, "
2661,600626.SH,600626,申达股份,纺织,2.84,6.71,"汽车零部件, 上海国企改革, 进口博览会, "
1882,300493.SZ,300493,润欣科技,通信设备,2.83,11.46,"5G, 移动支付, 高送转, 半导体, 智慧城市, 共享经济, 智慧安防, "
764,002303.SZ,002303,美盈森,造纸,2.83,6.7,"军工, 军民融合, 工业自动化, 智能制造, 包装印刷, "
2864,600854.SH,600854,春兰股份,家用电器,2.83,4.95,"白色家电, 家电, "
2444,600355.SH,600355,精伦电子,元器件,2.82,4.99,"物联网, 举牌股, 工业互联网, 壳公司, "
591,002129.SZ,002129,中环股份,半导体,2.82,11.2,"MSCI, 光伏, 半导体, 天津国企改革, "
2573,600527.SH,600527,江南高纤,化纤,2.81,2.78,"涤纶, 二胎, 低价股, "
2349,600240.SH,600240,华业资本,全国地产,2.8,3.36,"破净股, 房地产, 京津冀, 独角兽, "
494,002032.SZ,002032,苏泊尔,家用电器,2.8,74.84,"MSCI, 新进指数成份股, 大消费, 东盟博览会, 回购, 小家电, 家电, "
2770,600747.SH,600747,ST大控,多元金融,2.8,1.71,"低价股, 资产重组, ST股, "
3497,603787.SH,603787,新日股份,摩托车,2.8,12.78,"共享经济, "
2257,600135.SH,600135,乐凯胶片,化工原料,2.79,9.23,"央企改革, 军工研究所, 军工, 锂电池, 雄安新区, 新能源汽车, 京津冀, 雄安-周边, "
1615,300224.SZ,300224,正海磁材,元器件,2.79,7.08,"超级高铁, 百度概念股, 稀土磁材, "
2113,300735.SZ,300735,光弘科技,通信设备,2.79,28.02,"华为产业链, 小米概念股, 透明工厂, "
2120,300742.SZ,300742,越博动力,汽车配件,2.79,45.03,"高送转-预期, 无人驾驶, 新能源汽车, "
225,000669.SZ,000669,金鸿控股,供气供热,2.79,8.04,"油气改革, 天然气, 燃料电池, "
712,002250.SZ,002250,联化科技,化工原料,2.79,10.8,"农药, 社保重仓, 业绩预增, 医药, 创新药, "
2980,601086.SH,601086,国芳集团,百货,2.78,6.41,
323,000807.SZ,000807,云铝股份,铝,2.77,5.71,"有色-铝, 有色金属, 燃料电池, 工业互联网, "
1302,002855.SZ,002855,捷荣技术,塑料,2.77,11.99,"华为产业链, "
3268,603223.SH,603223,恒通股份,供气供热,2.77,12.46,"天然气, 快递物流, "
1401,300008.SZ,300008,天海防务,船舶,2.76,4.27,"海工装备, 军工, 军民融合, 量子通信, "
1653,300262.SZ,300262,巴安水务,环境保护,2.76,9.4,"水务, 社保重仓, 兜底式增持, PPP, "
1382,002941.SZ,002941,新疆交建,建筑施工,2.76,36.18,"一带一路, 大基建, 新疆, "
237,000683.SZ,000683,远兴能源,化工原料,2.76,3.37,"内蒙古, 石墨电极, 甲醇, 纯碱, 回购, 业绩预增, 化肥, "
1668,300277.SZ,300277,海联讯,软件服务,2.75,7.77,"供应链金融, "
1105,002645.SZ,002645,华宏科技,专用机械,2.75,10.27,
2933,600973.SH,600973,宝胜股份,电气设备,2.75,4.86,"央企改革, 军工研究所, 大飞机, 军工, "
352,000852.SZ,000852,石化机械,化工机械,2.75,10.17,"油服, 海工装备, 油气改革, 可燃冰, 央企改革, 页岩气, 天然气, 雄安-公共服务, 雄安新区, 地热, "
1965,300580.SZ,300580,贝斯特,汽车配件,2.75,20.18,"高送转-预期, 通用航空, 汽车零部件, 燃料电池, "
2219,600094.SH,600094,大名城,区域地产,2.74,9.54,"福建自贸区, 房地产, 自贸区, "
2461,600375.SH,600375,华菱星马,汽车整车,2.74,6.12,"汽车整车, 安徽国企改革, 重卡, 机械, 强势人气股, "
3604,603999.SH,603999,读者传媒,出版业,2.74,6.73,
885,002424.SZ,002424,贵州百灵,中成药,2.74,12.28,"MSCI, 民营医院, 兜底式增持, 高质押率, 医药, 中药, 创新药, 互联网医疗, 腾讯概念股, "
2258,600136.SH,600136,当代明诚,影视音像,2.73,13.69,"社保重仓, 高质押率, 足球, 体育产业, 影视, "
1522,300130.SZ,300130,新国都,电脑设备,2.73,18.67,"业绩预增, 物联网, 网络安全, 互联网金融, 移动支付, 大数据, 区块链, 腾讯概念股, "
761,002300.SZ,002300,太阳电缆,电气设备,2.72,9.06,"业绩预增, 军工, 军民融合, "
3585,603968.SH,603968,醋化股份,化工原料,2.72,18.22,
907,002446.SZ,002446,盛路通信,通信设备,2.72,11.77,"5G, 华为产业链, 军工, 军民融合, 物联网, 无人驾驶, 北斗导航, "
3469,603711.SH,603711,香飘飘,软饮料,2.72,32.66,"大消费, 饮料, "
448,000987.SZ,000987,越秀金控,多元金融,2.72,11.5,"券商, 金改, 新零售, 粤港澳大湾区, 宁德时代概念股, 资产重组, 独角兽, "
2268,600150.SH,600150,中国船舶,船舶,2.71,29.9,"南北船合并, 中字头, 海工装备, 混改, 军工混改, 央企改革, 军工研究所, 航母, 风电, 军工, 债转股-AMC, 复牌股, ST摘帽, "
3229,603131.SH,603131,上海沪工,专用机械,2.71,26.0,"军工, 军民融合, 智能制造, 资产重组, 机器人, "
3174,603033.SH,603033,三维股份,橡胶,2.71,26.3,"煤化工, 高铁轨交, 资产重组, "
2307,600193.SH,600193,ST创兴,装修装饰,2.71,3.99,"稀土磁材, ST股, 壳公司, "
2757,600734.SH,600734,实达集团,电脑设备,2.7,9.11,"华为产业链, 物联网, 高质押率, 智慧城市, 国产操作系统, 智慧安防, 创投, "
1821,300432.SZ,300432,富临精工,汽车配件,2.7,8.04,"破净股, 汽车零部件, 高质押率, 锂电池, 新能源汽车, "
567,002105.SZ,002105,信隆健康,文教休闲,2.7,5.36,"回购, 共享经济, 体育产业, "
620,002158.SZ,002158,汉钟精机,工程机械,2.69,12.13,"雄安-公共服务, 燃料电池, 冷链, 雄安新区, 地热, "
2892,600883.SH,600883,博闻科技,水泥,2.69,7.87,"社保重仓, 水泥, 壳公司, "
3147,603003.SH,603003,龙宇燃油,石油贸易,2.69,9.91,"油气改革, 回购, 石油化工, 大数据, 云计算, "
942,002481.SZ,002481,双塔食品,食品,2.69,4.78,"海底捞概念股, 业绩预增, 保健品, 食品, 山东国企改革, 燃料乙醇, "
771,002310.SZ,002310,东方园林,建筑施工,2.67,8.09,"社保重仓, 旅游, 园林, 雄安-园林环保, 特色小镇, PPP, 环保, 雄安新区, 污水处理, 股权转让, 国资入股, "
936,002475.SZ,002475,立讯精密,元器件,2.67,26.01,"5G, 白马股, MSCI, 华为产业链, 蔚来汽车概念股, 业绩预增, 无线充电, 苹果产业链, "
1485,300093.SZ,300093,金刚玻璃,玻璃,2.67,7.92,"玻璃, 智慧安防, "
1598,300207.SZ,300207,欣旺达,元器件,2.67,14.01,"华为产业链, 回购, 业绩预增, 锂电池, 小米概念股, 无线充电, 新能源汽车, 石墨烯, VR&AR, 苹果产业链, 国资入股, "
498,002036.SZ,002036,联创电子,元器件,2.66,14.44,"OLED, 特斯拉, 华为产业链, 回购, 无人驾驶, 无线充电, 3D感应, 3D玻璃, VR&AR, 国产芯片, 虹膜识别, 创投, "
2465,600379.SH,600379,宝光股份,电气设备,2.66,10.35,"央企改革, 股权争夺, "
667,002205.SZ,002205,国统股份,其他建材,2.65,21.0,"一带一路, 央企改革, 新疆, 地下管廊, 水利, 海绵城市, PPP, 新疆国企改革, 股权转让, 复牌股, "
1490,300098.SZ,300098,高新兴,通信设备,2.65,10.69,"社保重仓, 回购, 物联网, 无人驾驶, 智能制造, 人工智能, 无人商店, 智慧城市, 共享经济, 智慧安防, 机器人, 人脸识别, 电子车牌, "
2860,600848.SH,600848,上海临港,园区开发,2.65,35.76,"电改, 特斯拉, 环杭州湾大湾区, 房地产, 小米概念股, 上海国企改革, 住房租赁, 自贸区, 智慧城市, 自由贸易港, 资产重组, 独角兽, 上海自由贸易港, 创投, "
2554,600506.SH,600506,香梨股份,种植业,2.65,13.55,"乡村振兴, 新疆, 土地流转, 新疆国企改革, 农业种植, "
1950,300563.SZ,300563,神宇股份,通信设备,2.65,29.09,"5G, "
1616,300225.SZ,300225,金力泰,染料涂料,2.64,7.01,"半导体, 股权转让, "
1127,002667.SZ,002667,鞍重股份,工程机械,2.64,9.51,"壳公司, "
162,000581.SZ,000581,威孚高科,汽车配件,2.64,24.22,"MSCI, 特斯拉, 汽车零部件, 大气治理, 燃料电池, 环保, 新能源汽车, "
996,002536.SZ,002536,西泵股份,汽车配件,2.63,11.19,"汽车零部件, 高送转, "
1483,300091.SZ,300091,金通灵,机械基件,2.63,7.66,"乡村振兴, 无人机, 燃料电池, 股权转让, 国资入股, "
48,000063.SZ,000063,中兴通讯,通信设备,2.62,36.76,"5G, 光通信, 白马股, MSCI, 物联网, 百度概念股, 互联网金融, 移动支付, 大数据, 云计算, 人工智能, 智慧城市, "
2317,600206.SH,600206,有研新材,半导体,2.62,9.75,"OLED, 央企改革, 业绩预增, 稀土磁材, 雄安-建材, 雄安新区, 半导体, LED, 科创板概念股, "
1472,300080.SZ,300080,易成新能,半导体,2.62,7.1,"石墨电极, 光伏, 锂电池, 新能源汽车, 资产重组, "
2970,601018.SH,601018,宁波港,港口,2.62,5.29,"一带一路, 港口, 浙江国企改革, 环杭州湾大湾区, "
3363,603499.SH,603499,翔港科技,广告包装,2.62,34.93,"包装印刷, 化妆品, "
262,000716.SZ,000716,黑芝麻,食品,2.61,5.23,"食品, 休闲食品, 锂电池, 新能源汽车, 广西, "
51,000068.SZ,000068,华控赛格,元器件,2.61,6.23,"海绵城市, PPP, 环保, 雄安新区, 污水处理, 深圳本地股/深汕合作, 强势人气股, 创投, 雄安-设计, "
2443,600354.SH,600354,敦煌种业,种植业,2.61,5.09,"棉花, 农业种植, "
2171,600033.SH,600033,福建高速,路桥,2.61,3.51,"高股息, 高速公路, 福建自贸区, 自贸区, "
3386,603559.SH,603559,中通国脉,通信设备,2.59,26.18,"5G, 云计算, "
122,000529.SZ,000529,广弘控股,食品,2.59,8.15,"养猪, 宝能系, 粤港澳大湾区, 养鸡, 冷链, "
1282,002832.SZ,002832,比音勒芬,服饰,2.59,48.1,"回购, 业绩预增, 纺织服装, 体育产业, "
2939,600980.SH,600980,北矿科技,元器件,2.57,13.21,"央企改革, 稀土磁材, "
2857,600845.SH,600845,宝信软件,软件服务,2.57,33.67,"央企改革, 业绩预增, 物联网, 无人驾驶, 万达系, 大数据, 云计算, 工业互联网, 国产软件, VR&AR, "
1037,002577.SZ,002577,雷柏科技,电脑设备,2.57,13.3,"无人机, 智能制造, 无线充电, 电竞, 机器人, 游戏, 手游, "
2493,600416.SH,600416,湘电股份,电气设备,2.57,7.57,"社保重仓, 航母, 风电, 军工, 军民融合, 湖南国企改革, "
178,000600.SZ,000600,建投能源,火力发电,2.57,7.75,"火电, 电改, 核电, 业绩预增, 雄安-公共服务, 雄安新区, 京津冀, "
1628,300237.SZ,300237,美晨生态,建筑施工,2.57,4.86,"回购, 园林, 汽车零部件, PPP, 股权转让, "
2327,600217.SH,600217,中再资环,环境保护,2.56,7.12,"固废处理, 环保, 资产重组, "
3004,601166.SH,601166,兴业银行,银行,2.56,19.37,"银行, MSCI, 破净股, "
3300,603311.SH,603311,金海环境,专用机械,2.56,12.09,"白色家电, 家电, "
